task_id,candidate_zip_path,upload_submission_path,replacement_model_path,replacement_estimated_cost,best_6348_estimated_cost,cost_delta_6275_minus_best_6348,base_lane_replaced,overrides_lane_replaced,replacement_sha256,base_lane_old_sha256,overrides_lane_old_sha256,candidate_valid,failure_reason
task001,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task001_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task001_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task001.onnx,150,150,0,True,True,80f114c73f22f7ad157c399acec303cc928f614e6e5dfb9967b3a921c1f641e2,0fa36f41592b9d78fb9dffa6f03ad41663311c7414ee3ee0ca9a0787ee7553aa,436fc09415d2727a19ab233f0a3dd1cef1631f37f0ea69e2d26a1980e1fbfd0a,True,
task018,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task018_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task018_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task018.onnx,3245,3315,-70,True,True,ec828a39c746dcabfcd5ea69cdd4556348419cbe07fd6a16ec9edff4677bc4bd,c2e8e82b394406b4127ebd3b4e74460e0d34b69c8604a6ff6239f9a1608dd4f6,a81528a09b18abca286f69bfae09169f28ad1ecd59dd9833ff77e0fc52b5a27c,True,
task020,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task020_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task020_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task020.onnx,786,788,-2,True,True,a84cc462e251b86ba793c289a60372b411667778aaaf99c0db962c656af266e0,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,ff0158c5996c0f640c91f47362507f778dfe619b14f4d49253762df5e0ca11ea,True,
task025,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task025_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task025_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task025.onnx,447,468,-21,True,True,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,7169ae516d8a1713e7374289de88cd61af87c43411175c42827a4e2ef09a117d,e5f9355a3727a45f58f4322d6e77e5f5a39bce6fd90671b07cd35381155883af,True,
task030,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task030_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task030_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task030.onnx,924,1698,-774,True,True,43fd7e732de5f101746ecfc019fbfe0b26d905fa86bda27e5d84faafcc773733,76e48b2967fe619c83c5b215c89d8aee30008e2d7f263137f5af078b6135d592,f5bf6c26c62fe03caf6310d95bf297aa64b7cefab8ca50bd51fe0c2e30db3126,True,
task044,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task044_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task044_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task044.onnx,567,1187,-620,True,True,b19be339fbf1f199fbb4cced914b1a0d49ca477dd8351c49e990fdf45c83869b,d7be538649eb0e8a61367a01fdbdf5446c5aa4d1cbb20ee5b0fd67c3b5abc7c9,fecc69910acdefd9b019c285476b6e578eb8c5fa412b2d4534c0c3dcce499cae,True,
task046,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task046_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task046_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task046.onnx,2772,2772,0,True,True,776e40c71ae05f511e59e234f5f52931c7f966c95b139fed312451a249a5f138,902e4e1129d73fe4576d763127cc56d0574b72b02f96a7f8e1fe84e5f6e0eaf0,4f9e3d41f8a9c9918dd8660e6292e73578ec365523ff4b24c9e62843cc66ca88,True,
task048,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task048_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task048_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task048.onnx,396,396,0,True,True,9423c02033058a1188fae998353c04f6fbf4e48361dbee5461896ddd5d49ac28,d4c7088b8aa6bf4b2b226ce0dacecda44faf247049312f97e6d3e0d87574fa0a,389d23348f42d86d0313b9db8b7dea5eaac5762896989f2da5698b53119075f7,True,
task051,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task051_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task051_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task051.onnx,612,667,-55,True,True,b4e5ecaa156709adf438d5b25e6b077b7392df042f42a51ba7afbccc484d665b,86c7a1f4a9e1078f7176aac19c741859d1d72d5c8deeca5cd5fea73bfa951c7c,2e1bbba192d4d347403b0f1d38f10ecc105bad9133bea63c966cf00fb9193cce,True,
task054,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task054_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task054_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task054.onnx,1061,1061,0,True,True,da0ea9c4a4e7de7d20e8867f669de546f57874c7e6fa83c850aad07683855ecc,a2e77f3a92ad3273e4de5710e47222a0da5f4948d3fcf9860f0675f88f35a8c6,44b12ffcdd7e16095d0d7db91c56fd31b00460f7fb87ed92fa5d53a493516117,True,
