task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,ref6275_valid,ref6275_estimated_cost,ref6275_file_size_bytes,ref6275_failure_reason,ref6348_base_valid,ref6348_base_estimated_cost,ref6348_base_file_size_bytes,ref6348_base_failure_reason,ref6348_overrides_valid,ref6348_overrides_estimated_cost,ref6348_overrides_file_size_bytes,ref6348_overrides_failure_reason,best_6348_source,best_6348_estimated_cost,cost_delta_6275_minus_best_6348
task001,ref6275,outputs\reference_6275_flat\task001.onnx,150,1082,True,150,1082,,True,172,1433,,True,150,1172,,ref6348_overrides,150,0
task002,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task002.onnx,765,14560,True,765,14560,,True,1965,15506,,True,765,14560,,ref6348_overrides,765,0
task003,ref6348_base,outputs\reference_6348_56_stack\base_submission\task003.onnx,74,4167,True,138,5000,,True,74,4167,,True,138,5000,,ref6348_base,74,64
task004,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task004.onnx,3060,2522,True,3060,2522,,True,3060,2522,,True,3060,2522,,ref6348_overrides,3060,0
task005,ref6348_base,outputs\reference_6348_56_stack\base_submission\task005.onnx,1044,10910,True,1044,10910,,True,1044,10910,,True,16829,79027,,ref6348_base,1044,0
task006,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task006.onnx,235,1133,True,297,1124,,True,339,1364,,True,235,1133,,ref6348_overrides,235,62
task007,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task007.onnx,267,1258,True,267,1258,,True,271,1603,,True,267,1258,,ref6348_overrides,267,0
task008,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task008.onnx,377,7647,True,377,7647,,True,382,7667,,True,377,7647,,ref6348_overrides,377,0
task009,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task009.onnx,250,1879,True,33147,30956,,True,33147,30956,,True,250,1879,,ref6348_overrides,250,32897
task010,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task010.onnx,432,6176,True,432,6176,,True,521,6061,,True,432,6176,,ref6348_overrides,432,0
task011,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task011.onnx,7065,8259,True,7065,10170,,True,7065,10170,,True,7065,8259,,ref6348_overrides,7065,0
task012,ref6348_base,outputs\reference_6348_56_stack\base_submission\task012.onnx,587,1948,True,596,1906,,True,587,1948,,True,596,1906,,ref6348_base,587,9
task013,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task013.onnx,3389,5825,True,6795,18384,,True,6795,18384,,True,3389,5825,,ref6348_overrides,3389,3406
task014,ref6348_base,outputs\reference_6348_56_stack\base_submission\task014.onnx,0,14357,True,3375,5317,,True,0,14357,,True,3375,5317,,ref6348_base,0,3375
task015,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task015.onnx,4500,3774,True,4500,3774,,True,4500,3798,,True,4500,3774,,ref6348_overrides,4500,0
task016,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task016.onnx,90,158,True,90,158,,True,90,158,,True,90,158,,ref6348_overrides,90,0
task017,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task017.onnx,1523,5539,True,1523,5585,,True,2419,8620,,True,1523,5539,,ref6348_overrides,1523,0
task018,ref6275,outputs\reference_6275_flat\task018.onnx,3245,29350,True,3245,29350,,True,3315,32157,,True,15008,58628,,ref6348_base,3315,-70
task019,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task019.onnx,446,2441,True,570,2566,,True,16326,17887,,True,446,2441,,ref6348_overrides,446,124
task020,ref6275,outputs\reference_6275_flat\task020.onnx,786,19672,True,786,19672,,True,2406,31378,,True,788,14531,,ref6348_overrides,788,-2
task021,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task021.onnx,725,2678,True,725,15197,,True,16652,38201,,True,725,2678,,ref6348_overrides,725,0
task022,ref6348_base,outputs\reference_6348_56_stack\base_submission\task022.onnx,531,43895,True,1061,5021,,True,531,43895,,True,1044,2028,,ref6348_base,531,530
task023,ref6348_base,outputs\reference_6348_56_stack\base_submission\task023.onnx,125,20163,True,303,33105,,True,125,20163,,True,303,27770,,ref6348_base,125,178
task024,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task024.onnx,765,3233,True,765,3233,,True,765,3233,,True,765,3233,,ref6348_overrides,765,0
task025,ref6275,outputs\reference_6275_flat\task025.onnx,447,13460,True,447,13460,,True,332565,826752,,True,468,4914,,ref6348_overrides,468,-21
task026,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task026.onnx,210,1309,True,210,1309,,True,312,1622,,True,210,1309,,ref6348_overrides,210,0
task027,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task027.onnx,329,2073,True,329,2073,,True,36154,31135,,True,329,2073,,ref6348_overrides,329,0
task028,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task028.onnx,857,2079,True,857,2079,,True,63050,51218,,True,857,2079,,ref6348_overrides,857,0
task029,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task029.onnx,978,13589,True,978,13589,,True,978,13589,,True,978,13589,,ref6348_overrides,978,0
task030,ref6275,outputs\reference_6275_flat\task030.onnx,924,7164,True,924,7164,,True,5171,9441,,True,1698,3134,,ref6348_overrides,1698,-774
task031,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task031.onnx,470,3417,True,470,3417,,True,470,3417,,True,470,3417,,ref6348_overrides,470,0
task032,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task032.onnx,409,2347,True,409,2347,,True,409,2347,,True,409,2347,,ref6348_overrides,409,0
task033,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task033.onnx,369,1510,True,369,1510,,True,369,1510,,True,369,1510,,ref6348_overrides,369,0
task034,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task034.onnx,353,4303,True,7701,8450,,True,7701,11293,,True,353,4303,,ref6348_overrides,353,7348
task035,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task035.onnx,455,3707,True,455,3707,,True,1389,12869,,True,455,3707,,ref6348_overrides,455,0
task036,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task036.onnx,867,3950,True,867,3950,,True,1299,5866,,True,867,3950,,ref6348_overrides,867,0
task037,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task037.onnx,25086,19527,True,25086,20424,,True,25086,20424,,True,25086,19527,,ref6348_overrides,25086,0
task038,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task038.onnx,298,2559,True,298,2559,,True,493,2357,,True,298,2559,,ref6348_overrides,298,0
task039,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task039.onnx,248,1913,True,248,1913,,True,248,1913,,True,248,1913,,ref6348_overrides,248,0
task040,ref6348_base,outputs\reference_6348_56_stack\base_submission\task040.onnx,370,4104,True,370,4167,,True,370,4104,,True,370,4167,,ref6348_base,370,0
task041,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task041.onnx,187,2110,True,187,2110,,True,243,2228,,True,187,2110,,ref6348_overrides,187,0
task042,ref6348_base,outputs\reference_6348_56_stack\base_submission\task042.onnx,888,8398,True,2445,8525,,True,888,8398,,True,2448,6490,,ref6348_base,888,1557
task043,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task043.onnx,772,2224,True,772,2224,,True,777,1966,,True,772,2224,,ref6348_overrides,772,0
task044,ref6275,outputs\reference_6275_flat\task044.onnx,567,22589,True,567,22589,,True,6291,148684,,True,1187,22235,,ref6348_overrides,1187,-620
task045,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task045.onnx,225,1425,True,225,1425,,True,244,1438,,True,225,1425,,ref6348_overrides,225,0
task046,ref6275,outputs\reference_6275_flat\task046.onnx,2772,5299,True,2772,5299,,True,4446,8963,,True,2772,7494,,ref6348_overrides,2772,0
task047,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task047.onnx,324,3091,True,324,3091,,True,747,3246,,True,324,3091,,ref6348_overrides,324,0
task048,ref6275,outputs\reference_6275_flat\task048.onnx,396,4058,True,396,4058,,True,462,5695,,True,396,4064,,ref6348_overrides,396,0
task049,ref6348_base,outputs\reference_6348_56_stack\base_submission\task049.onnx,942,3516,True,942,3516,,True,942,3516,,True,1276,3265,,ref6348_base,942,0
task050,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task050.onnx,675,1939,True,675,2006,,True,675,2540,,True,675,1939,,ref6348_overrides,675,0
task051,ref6275,outputs\reference_6275_flat\task051.onnx,612,3352,True,612,3352,,True,667,3365,,True,713,3039,,ref6348_base,667,-55
task052,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task052.onnx,231,986,True,231,986,,True,283,1277,,True,231,986,,ref6348_overrides,231,0
task053,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task053.onnx,270,175,True,270,175,,True,270,175,,True,270,175,,ref6348_overrides,270,0
task054,ref6275,outputs\reference_6275_flat\task054.onnx,1061,5551,True,1061,5551,,True,1061,9728,,True,14339,48606,,ref6348_base,1061,0
task055,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task055.onnx,2907,3952,True,3162,13886,,True,5090,21458,,True,2907,3952,,ref6348_overrides,2907,255
task056,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task056.onnx,231,815,True,231,815,,True,592,1515,,True,231,815,,ref6348_overrides,231,0
task057,ref6348_base,outputs\reference_6348_56_stack\base_submission\task057.onnx,99,1880,True,173,1616,,True,99,1880,,True,173,1616,,ref6348_base,99,74
