task_id,candidate_model_path,candidate_zip_path,upload_submission_path,base_entry_replaced,inspection_passed,failure_reason
task009,outputs\candidates\ablation_group_a_dtype\task009_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task009_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task009_InitializerDtypeCompression\submission.zip,task009.onnx,True,
task027,outputs\candidates\ablation_group_a_dtype\task027_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task027_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task027_InitializerDtypeCompression\submission.zip,task027.onnx,True,
task028,outputs\candidates\ablation_group_a_dtype\task028_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task028_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task028_InitializerDtypeCompression\submission.zip,task028.onnx,True,
task058,outputs\candidates\ablation_group_a_dtype\task058_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task058_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task058_InitializerDtypeCompression\submission.zip,task058.onnx,True,
task105,outputs\candidates\ablation_group_a_dtype\task105_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task105_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task105_InitializerDtypeCompression\submission.zip,task105.onnx,True,
task157,outputs\candidates\ablation_group_a_dtype\task157_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task157_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task157_InitializerDtypeCompression\submission.zip,task157.onnx,True,
task209,outputs\candidates\ablation_group_a_dtype\task209_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task209_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task209_InitializerDtypeCompression\submission.zip,task209.onnx,True,
task255,outputs\candidates\ablation_group_a_dtype\task255_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task255_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task255_InitializerDtypeCompression\submission.zip,task255.onnx,True,
task290,outputs\candidates\ablation_group_a_dtype\task290_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task290_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task290_InitializerDtypeCompression\submission.zip,task290.onnx,True,
task313,outputs\candidates\ablation_group_a_dtype\task313_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task313_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task313_InitializerDtypeCompression\submission.zip,task313.onnx,True,
task363,outputs\candidates\ablation_group_a_dtype\task363_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task363_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task363_InitializerDtypeCompression\submission.zip,task363.onnx,True,
task366,outputs\candidates\ablation_group_a_dtype\task366_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task366_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task366_InitializerDtypeCompression\submission.zip,task366.onnx,True,
task367,outputs\candidates\ablation_group_a_dtype\task367_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task367_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task367_InitializerDtypeCompression\submission.zip,task367.onnx,True,
task382,outputs\candidates\ablation_group_a_dtype\task382_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task382_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task382_InitializerDtypeCompression\submission.zip,task382.onnx,True,
task396,outputs\candidates\ablation_group_a_dtype\task396_InitializerDtypeCompression.onnx,outputs\ablation_submissions\group_a_dtype_20260609\task396_InitializerDtypeCompression.zip,outputs\ablation_submissions\group_a_dtype_20260609\task396_InitializerDtypeCompression\submission.zip,task396.onnx,True,
