task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task001,archive,outputs\archive_all_repaired_verified_onnx\task001.onnx,172,1433,True,172,1433,,True,2500,2369,
task002,current,outputs\archive_all_repaired_verified_onnx\task002.onnx,205,12507,True,205,12507,,True,205,12507,
task003,archive,outputs\archive_all_repaired_verified_onnx\task003.onnx,74,4167,True,74,4167,,True,49335,45604,
task004,archive,outputs\archive_all_repaired_verified_onnx\task004.onnx,3115,2903,True,3115,2903,,False,,,missing_model
task005,archive,outputs\archive_all_repaired_verified_onnx\task005.onnx,1044,10910,True,1044,10910,,False,,,missing_model
task006,archive,outputs\archive_all_repaired_verified_onnx\task006.onnx,339,1364,True,339,1364,,True,2550,2585,
task007,archive,outputs\archive_all_repaired_verified_onnx\task007.onnx,271,1603,True,271,1603,,False,,,missing_model
task008,archive,outputs\archive_all_repaired_verified_onnx\task008.onnx,382,7667,True,382,7667,,False,,,missing_model
task009,archive,outputs\archive_all_repaired_verified_onnx\task009.onnx,33147,30956,True,33147,30956,,False,,,missing_model
task010,archive,outputs\archive_all_repaired_verified_onnx\task010.onnx,521,6061,True,521,6061,,False,,,missing_model
task011,archive,outputs\archive_all_repaired_verified_onnx\task011.onnx,7065,10170,True,7065,10170,,False,,,missing_model
task012,archive,outputs\archive_all_repaired_verified_onnx\task012.onnx,587,1948,True,587,1948,,False,,,missing_model
task013,archive,outputs\archive_all_repaired_verified_onnx\task013.onnx,6795,18384,True,6795,18384,,False,,,missing_model
task014,archive,outputs\archive_all_repaired_verified_onnx\task014.onnx,0,14357,True,0,14357,,False,,,missing_model
task015,archive,outputs\archive_all_repaired_verified_onnx\task015.onnx,4500,3798,True,4500,3798,,False,,,missing_model
task016,current,outputs\archive_all_repaired_verified_onnx\task016.onnx,50,238,True,50,238,,True,50,238,
task017,archive,outputs\archive_all_repaired_verified_onnx\task017.onnx,2419,8620,True,2419,8620,,False,,,missing_model
task018,archive,outputs\archive_all_repaired_verified_onnx\task018.onnx,3315,32157,True,3315,32157,,False,,,missing_model
task019,archive,outputs\archive_all_repaired_verified_onnx\task019.onnx,16326,17887,True,16326,17887,,False,,,missing_model
task020,archive,outputs\archive_all_repaired_verified_onnx\task020.onnx,2406,31378,True,2406,31378,,False,,,missing_model
task021,archive,outputs\archive_all_repaired_verified_onnx\task021.onnx,16652,38201,True,16652,38201,,False,,,missing_model
task022,archive,outputs\archive_all_repaired_verified_onnx\task022.onnx,531,43895,True,531,43895,,False,,,missing_model
task023,archive,outputs\archive_all_repaired_verified_onnx\task023.onnx,125,20163,True,125,20163,,False,,,missing_model
task024,archive,outputs\archive_all_repaired_verified_onnx\task024.onnx,765,3233,True,765,3233,,False,,,missing_model
task025,archive,outputs\archive_all_repaired_verified_onnx\task025.onnx,332565,826752,True,332565,826752,,False,,,missing_model
task026,archive,outputs\archive_all_repaired_verified_onnx\task026.onnx,312,1622,True,312,1622,,True,2550,2647,
task027,archive,outputs\archive_all_repaired_verified_onnx\task027.onnx,36154,31135,True,36154,31135,,False,,,missing_model
task028,archive,outputs\archive_all_repaired_verified_onnx\task028.onnx,63050,51218,True,63050,51218,,False,,,missing_model
task029,archive,outputs\archive_all_repaired_verified_onnx\task029.onnx,978,13589,True,978,13589,,False,,,missing_model
task030,archive,outputs\archive_all_repaired_verified_onnx\task030.onnx,5171,9441,True,5171,9441,,False,,,missing_model
task031,archive,outputs\archive_all_repaired_verified_onnx\task031.onnx,470,3417,True,470,3417,,True,1113,3759,
task032,archive,outputs\archive_all_repaired_verified_onnx\task032.onnx,409,2347,True,409,2347,,False,,,missing_model
task033,archive,outputs\archive_all_repaired_verified_onnx\task033.onnx,369,1510,True,369,1510,,False,,,missing_model
task034,archive,outputs\archive_all_repaired_verified_onnx\task034.onnx,7701,11293,True,7701,11293,,False,,,missing_model
task035,archive,outputs\archive_all_repaired_verified_onnx\task035.onnx,1389,12869,True,1389,12869,,False,,,missing_model
task036,archive,outputs\archive_all_repaired_verified_onnx\task036.onnx,1299,5866,True,1299,5866,,False,,,missing_model
task037,archive,outputs\archive_all_repaired_verified_onnx\task037.onnx,25086,20424,True,25086,20424,,False,,,missing_model
task038,archive,outputs\archive_all_repaired_verified_onnx\task038.onnx,493,2357,True,493,2357,,False,,,missing_model
task039,archive,outputs\archive_all_repaired_verified_onnx\task039.onnx,248,1913,True,248,1913,,False,,,missing_model
