task_id,ref6275_valid_structural,ref6275_params,ref6275_memory_bytes,ref6275_estimated_cost,ref6275_estimated_score,ref6275_file_size_bytes,ref6275_file_size_ok,ref6275_node_count,ref6275_initializer_count,ref6275_forbidden_ops,ref6275_unused_initializer_count,ref6275_unused_initializer_params,ref6275_duplicate_group_count,ref6275_duplicate_saved_params,ref6275_sha256,current_valid_structural,current_params,current_memory_bytes,current_estimated_cost,current_estimated_score,current_file_size_bytes,current_file_size_ok,current_node_count,current_initializer_count,current_forbidden_ops,current_unused_initializer_count,current_unused_initializer_params,current_duplicate_group_count,current_duplicate_saved_params,current_sha256,same_sha256,cost_delta_ref_minus_current,score_delta_ref_minus_current,file_delta_ref_minus_current,cheaper_source_by_cost
task001,True,24,126,150,19.989364705903746,1082,True,13,4,,0,0,0,0,80f114c73f22f7ad157c399acec303cc928f614e6e5dfb9967b3a921c1f641e2,True,24,148,172,19.852505523186547,1433,True,12,4,,0,0,0,0,0fa36f41592b9d78fb9dffa6f03ad41663311c7414ee3ee0ca9a0787ee7553aa,False,-22,0.136859182717199,-351,ref6275
task002,True,93,672,765,18.360124166173463,14560,True,95,31,,0,0,0,0,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,True,493,1472,1965,17.41675247569664,15506,True,95,32,,0,0,0,0,4c3205c0141934e8750b205f87c8622ebfd80d2fce3c665797e3b1dd39c1d0b5,False,-1200,0.9433716904768232,-946,ref6275
task003,True,18,120,138,20.072746314842796,5000,True,42,12,,0,0,0,0,a41ad7e3efe23c97497862dd91ea554f505de1047f4dd0eda52d917136dde6c3,True,10,64,74,20.69593490679583,4167,True,39,10,,0,0,0,0,f7b1e9c321fcb23c216feb2476ddc69b220eb381e49e0edca3208bd9a8373693,False,64,-0.6231885919530349,833,current
task004,True,1020,2040,3060,16.973829805053576,2522,True,4,4,,0,0,0,0,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,True,1020,2040,3060,16.973829805053576,2522,True,4,4,,0,0,0,0,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,True,0,0.0,0,tie
task005,True,336,708,1044,18.049185231557416,10910,True,106,19,,0,0,0,0,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,True,336,708,1044,18.049185231557416,10910,True,106,19,,0,0,0,0,dd5681549124eb6d60c83f24b1bd80499fef4bcd62156e5b133ee6069e17f92e,False,0,0.0,0,tie
task006,True,47,250,297,19.3062678611973,1124,True,12,10,,0,0,0,0,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,True,47,292,339,19.17399989261955,1364,True,10,10,,0,0,0,0,730e2188defecad529681f66c74dcbe4bc3ea104d8fa752a6f1e719e3bf622bb,False,-42,0.13226796857775014,-240,ref6275
task007,True,31,236,267,19.41275134159975,1258,True,13,13,,0,0,0,0,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,True,31,240,271,19.397881179120297,1603,True,13,13,,0,0,0,0,8e0308e58a7da64f203a04e83bc622cfe30b84e06cf914f0feb6c5d4238ced60,False,-4,0.014870162479454052,-345,ref6275
task008,True,60,317,377,19.06775481255199,7647,True,78,20,,0,0,0,0,3c6eac13ad355d3b5eef5aeafb8684986bd72b09d2d4270a9db362d33aedc6f9,True,61,321,382,19.054579391393425,7667,True,78,21,,0,0,0,0,662af396ddc9ba7a33d3a0179ae26ef1ac06a69bc0c08ef6be718fa379001d10,False,-5,0.013175421158564404,-20,ref6275
task009,True,3841,29306,33147,14.591292506218716,30956,True,22,6,,0,0,0,0,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,True,3841,29306,33147,14.591292506218716,30956,True,22,6,,0,0,0,0,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,True,0,0.0,0,tie
task010,True,76,356,432,18.93157441175589,6176,True,60,25,,0,0,0,0,31e8b795ba465955855e8265a882e7fb47a3eeb2b779fa316c16c2bd0905d4cd,True,77,444,521,18.744249958246634,6061,True,58,26,,0,0,0,0,a5dd47c7b1bf11a5f9b073d7147d66749b67169969a9eb7befc020d4dc21116f,False,-89,0.1873244535092553,115,ref6275
