task_id,lane,model_path,valid,failure_reason,params,tensor_memory_bytes,official_static_cost,official_static_score,initializer_params,constant_params,node_count,op_count,file_size_bytes
task001,base_submission,outputs\current_6349_78_stack\base_submission\task001.onnx,True,,24,4315,4339,16.62460081420165,24,0,12,12,1433
task001,overrides,outputs\current_6349_78_stack\overrides\task001.onnx,True,,24,2666,2690,17.102703527404117,24,0,14,14,1172
task002,base_submission,outputs\current_6349_78_stack\base_submission\task002.onnx,True,,493,97200,97693,13.5104148124377,493,0,95,95,15506
task002,overrides,outputs\current_6349_78_stack\overrides\task002.onnx,True,,93,97200,97293,13.514517676859928,93,0,95,95,14560
task003,base_submission,outputs\current_6349_78_stack\base_submission\task003.onnx,True,,10,10026,10036,15.786066092513687,10,0,39,39,4167
task003,overrides,outputs\current_6349_78_stack\overrides\task003.onnx,True,,18,1172,1190,17.918291413894426,18,0,42,42,5000
task004,base_submission,outputs\current_6349_78_stack\base_submission\task004.onnx,True,,1020,54000,55020,14.084547965521434,1020,0,4,4,2522
task004,overrides,outputs\current_6349_78_stack\overrides\task004.onnx,True,,1020,54000,55020,14.084547965521434,1020,0,4,4,2522
task005,base_submission,outputs\current_6349_78_stack\base_submission\task005.onnx,True,,336,118653,118989,13.313213669153685,336,0,106,106,10910
task005,overrides,outputs\current_6349_78_stack\overrides\task005.onnx,True,,2837,92970,95807,13.52990896981692,2837,0,1831,1831,79027
task006,base_submission,outputs\current_6349_78_stack\base_submission\task006.onnx,True,,47,1872,1919,17.4404405039923,47,0,10,10,1364
task006,overrides,outputs\current_6349_78_stack\overrides\task006.onnx,True,,35,612,647,18.527653705499098,35,0,11,11,1133
task007,base_submission,outputs\current_6349_78_stack\base_submission\task007.onnx,True,,31,9200,9231,15.869677336009849,31,0,13,13,1603
task007,overrides,outputs\current_6349_78_stack\overrides\task007.onnx,True,,31,7240,7271,16.108350887349943,31,0,13,13,1258
task008,base_submission,outputs\current_6349_78_stack\base_submission\task008.onnx,True,,61,23484,23545,14.933331237322346,61,0,78,78,7667
task008,overrides,outputs\current_6349_78_stack\overrides\task008.onnx,True,,60,23228,23288,14.94430651457454,60,0,78,78,7647
task009,base_submission,outputs\current_6349_78_stack\base_submission\task009.onnx,True,,3841,77400,81241,13.69482467517415,3841,0,22,22,30956
task009,overrides,outputs\current_6349_78_stack\overrides\task009.onnx,True,,77,47400,47477,14.231999337771356,77,0,24,24,1879
