task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task001,overrides,outputs\current_6352_53_stack\overrides\task001.onnx,,150,150,0,1172,1172,0,126,126,0,4,4,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task002,overrides,outputs\current_6352_53_stack\overrides\task002.onnx,,765,765,0,14560,14560,0,672,672,0,31,31,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task003,overrides,outputs\current_6352_53_stack\overrides\task003.onnx,,138,138,0,5000,5000,0,120,120,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task004,overrides,outputs\current_6352_53_stack\overrides\task004.onnx,,3060,3060,0,2522,2522,0,2040,2040,0,4,4,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task005,overrides,outputs\current_6352_53_stack\overrides\task005.onnx,,16829,16829,0,79027,79027,0,13992,13992,0,97,97,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task006,overrides,outputs\current_6352_53_stack\overrides\task006.onnx,,235,235,0,1133,1133,0,200,200,0,6,6,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task007,overrides,outputs\current_6352_53_stack\overrides\task007.onnx,,267,267,0,1258,1258,0,236,236,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task008,overrides,outputs\current_6352_53_stack\overrides\task008.onnx,,377,377,0,7647,7647,0,317,317,0,20,20,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task009,overrides,outputs\current_6352_53_stack\overrides\task009.onnx,,250,250,0,1879,1879,0,173,173,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task010,overrides,outputs\current_6352_53_stack\overrides\task010.onnx,,432,432,0,6176,6176,0,356,356,0,25,25,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
