task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task001,overrides,outputs\current_6352_53_stack\overrides\task001.onnx,outputs\candidates\current_6352_53_noop_node_prune\task001_overrides_NoopNodePruned.onnx,2690,2690,0,1172,1172,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task002,overrides,outputs\current_6352_53_stack\overrides\task002.onnx,outputs\candidates\current_6352_53_noop_node_prune\task002_overrides_NoopNodePruned.onnx,97293,97293,0,14560,14560,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task003,overrides,outputs\current_6352_53_stack\overrides\task003.onnx,outputs\candidates\current_6352_53_noop_node_prune\task003_overrides_NoopNodePruned.onnx,1190,1190,0,5000,5000,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task004,overrides,outputs\current_6352_53_stack\overrides\task004.onnx,outputs\candidates\current_6352_53_noop_node_prune\task004_overrides_NoopNodePruned.onnx,55020,55020,0,2522,2522,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task005,overrides,outputs\current_6352_53_stack\overrides\task005.onnx,outputs\candidates\current_6352_53_noop_node_prune\task005_overrides_NoopNodePruned.onnx,95807,95749,-58,79027,78179,-848,,,,,,True,,,,,,,,True,True,True,not_run,,,True,"{""removed_arithmetic"": 29, ""removed_cast"": 0, ""removed_identity"": 0, ""removed_nodes"": 29, ""removed_reshape"": 0, ""removed_transpose"": 0, ""terminal_rewrites"": 0}"
task006,overrides,outputs\current_6352_53_stack\overrides\task006.onnx,outputs\candidates\current_6352_53_noop_node_prune\task006_overrides_NoopNodePruned.onnx,647,647,0,1133,1133,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task007,overrides,outputs\current_6352_53_stack\overrides\task007.onnx,outputs\candidates\current_6352_53_noop_node_prune\task007_overrides_NoopNodePruned.onnx,7271,7271,0,1258,1258,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task008,overrides,outputs\current_6352_53_stack\overrides\task008.onnx,outputs\candidates\current_6352_53_noop_node_prune\task008_overrides_NoopNodePruned.onnx,23288,23288,0,7647,7647,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task009,overrides,outputs\current_6352_53_stack\overrides\task009.onnx,outputs\candidates\current_6352_53_noop_node_prune\task009_overrides_NoopNodePruned.onnx,47477,47477,0,1879,1879,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task010,overrides,outputs\current_6352_53_stack\overrides\task010.onnx,outputs\candidates\current_6352_53_noop_node_prune\task010_overrides_NoopNodePruned.onnx,5015,5015,0,6176,6176,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task011,overrides,outputs\current_6352_53_stack\overrides\task011.onnx,outputs\candidates\current_6352_53_noop_node_prune\task011_overrides_NoopNodePruned.onnx,53087,53087,0,8259,8259,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task012,overrides,outputs\current_6352_53_stack\overrides\task012.onnx,outputs\candidates\current_6352_53_noop_node_prune\task012_overrides_NoopNodePruned.onnx,12631,12631,0,1906,1906,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task013,overrides,outputs\current_6352_53_stack\overrides\task013.onnx,outputs\candidates\current_6352_53_noop_node_prune\task013_overrides_NoopNodePruned.onnx,26194,26074,-120,5825,5769,-56,,,,,,True,,,,,,,,True,True,True,not_run,,,True,"{""removed_arithmetic"": 2, ""removed_cast"": 0, ""removed_identity"": 0, ""removed_nodes"": 2, ""removed_reshape"": 0, ""removed_transpose"": 0, ""terminal_rewrites"": 0}"
task014,overrides,outputs\current_6352_53_stack\overrides\task014.onnx,outputs\candidates\current_6352_53_noop_node_prune\task014_overrides_NoopNodePruned.onnx,39049,39049,0,5317,5317,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task015,overrides,outputs\current_6352_53_stack\overrides\task015.onnx,outputs\candidates\current_6352_53_noop_node_prune\task015_overrides_NoopNodePruned.onnx,900,900,0,3774,3774,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task016,overrides,outputs\current_6352_53_stack\overrides\task016.onnx,outputs\candidates\current_6352_53_noop_node_prune\task016_overrides_NoopNodePruned.onnx,10,10,0,158,158,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task017,overrides,outputs\current_6352_53_stack\overrides\task017.onnx,outputs\candidates\current_6352_53_noop_node_prune\task017_overrides_NoopNodePruned.onnx,33807,33807,0,5539,5539,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task018,overrides,outputs\current_6352_53_stack\overrides\task018.onnx,outputs\candidates\current_6352_53_noop_node_prune\task018_overrides_NoopNodePruned.onnx,103358,103350,-8,58591,58479,-112,,,,,,True,,,,,,,,True,True,True,not_run,,,True,"{""removed_arithmetic"": 4, ""removed_cast"": 0, ""removed_identity"": 0, ""removed_nodes"": 4, ""removed_reshape"": 0, ""removed_transpose"": 0, ""terminal_rewrites"": 0}"
task019,overrides,outputs\current_6352_53_stack\overrides\task019.onnx,outputs\candidates\current_6352_53_noop_node_prune\task019_overrides_NoopNodePruned.onnx,80850,80850,0,2441,2441,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task020,overrides,outputs\current_6352_53_stack\overrides\task020.onnx,outputs\candidates\current_6352_53_noop_node_prune\task020_overrides_NoopNodePruned.onnx,52144,52144,0,14531,14531,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task021,overrides,outputs\current_6352_53_stack\overrides\task021.onnx,outputs\candidates\current_6352_53_noop_node_prune\task021_overrides_NoopNodePruned.onnx,8319,8319,0,2678,2678,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task022,overrides,outputs\current_6352_53_stack\overrides\task022.onnx,outputs\candidates\current_6352_53_noop_node_prune\task022_overrides_NoopNodePruned.onnx,18589,18589,0,2028,2028,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task023,overrides,outputs\current_6352_53_stack\overrides\task023.onnx,outputs\candidates\current_6352_53_noop_node_prune\task023_overrides_NoopNodePruned.onnx,60138,60138,0,27770,27770,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task024,overrides,outputs\current_6352_53_stack\overrides\task024.onnx,outputs\candidates\current_6352_53_noop_node_prune\task024_overrides_NoopNodePruned.onnx,9080,9080,0,3233,3233,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task025,overrides,outputs\current_6352_53_stack\overrides\task025.onnx,outputs\candidates\current_6352_53_noop_node_prune\task025_overrides_NoopNodePruned.onnx,78021,78021,0,4914,4914,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task026,overrides,outputs\current_6352_53_stack\overrides\task026.onnx,outputs\candidates\current_6352_53_noop_node_prune\task026_overrides_NoopNodePruned.onnx,724,724,0,1309,1309,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task027,overrides,outputs\current_6352_53_stack\overrides\task027.onnx,outputs\candidates\current_6352_53_noop_node_prune\task027_overrides_NoopNodePruned.onnx,5814,5814,0,2073,2073,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task028,overrides,outputs\current_6352_53_stack\overrides\task028.onnx,outputs\candidates\current_6352_53_noop_node_prune\task028_overrides_NoopNodePruned.onnx,4839,4839,0,2079,2079,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task029,overrides,outputs\current_6352_53_stack\overrides\task029.onnx,outputs\candidates\current_6352_53_noop_node_prune\task029_overrides_NoopNodePruned.onnx,97117,97117,0,13589,13589,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task030,overrides,outputs\current_6352_53_stack\overrides\task030.onnx,outputs\candidates\current_6352_53_noop_node_prune\task030_overrides_NoopNodePruned.onnx,6134,6134,0,3134,3134,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task031,overrides,outputs\current_6352_53_stack\overrides\task031.onnx,outputs\candidates\current_6352_53_noop_node_prune\task031_overrides_NoopNodePruned.onnx,18616,18616,0,3417,3417,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task032,overrides,outputs\current_6352_53_stack\overrides\task032.onnx,outputs\candidates\current_6352_53_noop_node_prune\task032_overrides_NoopNodePruned.onnx,3405,3405,0,2347,2347,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task033,overrides,outputs\current_6352_53_stack\overrides\task033.onnx,outputs\candidates\current_6352_53_noop_node_prune\task033_overrides_NoopNodePruned.onnx,55161,55161,0,1510,1510,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task034,overrides,outputs\current_6352_53_stack\overrides\task034.onnx,outputs\candidates\current_6352_53_noop_node_prune\task034_overrides_NoopNodePruned.onnx,58703,58463,-240,4303,4197,-106,,,,,,True,,,,,,,,True,True,True,not_run,,,True,"{""removed_arithmetic"": 4, ""removed_cast"": 0, ""removed_identity"": 0, ""removed_nodes"": 4, ""removed_reshape"": 0, ""removed_transpose"": 0, ""terminal_rewrites"": 0}"
task035,overrides,outputs\current_6352_53_stack\overrides\task035.onnx,outputs\candidates\current_6352_53_noop_node_prune\task035_overrides_NoopNodePruned.onnx,15363,15363,0,3707,3707,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task036,overrides,outputs\current_6352_53_stack\overrides\task036.onnx,outputs\candidates\current_6352_53_noop_node_prune\task036_overrides_NoopNodePruned.onnx,79943,79943,0,3950,3950,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
