task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task004,base_submission,outputs\current_6352_53_stack\base_submission\task004.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task004_base_submission_NoopNodePruned.onnx,55020,55020,0,2522,2522,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task015,base_submission,outputs\current_6352_53_stack\base_submission\task015.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task015_base_submission_NoopNodePruned.onnx,900,900,0,3798,3798,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task016,base_submission,outputs\current_6352_53_stack\base_submission\task016.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task016_base_submission_NoopNodePruned.onnx,10,10,0,158,158,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task024,base_submission,outputs\current_6352_53_stack\base_submission\task024.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task024_base_submission_NoopNodePruned.onnx,9080,9080,0,3233,3233,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task032,base_submission,outputs\current_6352_53_stack\base_submission\task032.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task032_base_submission_NoopNodePruned.onnx,3405,3405,0,2347,2347,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task033,base_submission,outputs\current_6352_53_stack\base_submission\task033.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task033_base_submission_NoopNodePruned.onnx,55161,55161,0,1510,1510,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task053,base_submission,outputs\current_6352_53_stack\base_submission\task053.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task053_base_submission_NoopNodePruned.onnx,30,30,0,175,175,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task061,base_submission,outputs\current_6352_53_stack\base_submission\task061.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task061_base_submission_NoopNodePruned.onnx,18914,18914,0,17030,17030,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task063,base_submission,outputs\current_6352_53_stack\base_submission\task063.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task063_base_submission_NoopNodePruned.onnx,30732,30732,0,3709,3709,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task067,base_submission,outputs\current_6352_53_stack\base_submission\task067.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task067_base_submission_NoopNodePruned.onnx,315,315,0,892,892,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task070,base_submission,outputs\current_6352_53_stack\base_submission\task070.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task070_base_submission_NoopNodePruned.onnx,66138,66138,0,11844,11844,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task074,base_submission,outputs\current_6352_53_stack\base_submission\task074.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task074_base_submission_NoopNodePruned.onnx,21825,21825,0,1824,1824,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task081,base_submission,outputs\current_6352_53_stack\base_submission\task081.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task081_base_submission_NoopNodePruned.onnx,2307,2307,0,3749,3749,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task083,base_submission,outputs\current_6352_53_stack\base_submission\task083.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task083_base_submission_NoopNodePruned.onnx,1800,1800,0,7454,7454,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task098,base_submission,outputs\current_6352_53_stack\base_submission\task098.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task098_base_submission_NoopNodePruned.onnx,910,910,0,3836,3836,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task106,base_submission,outputs\current_6352_53_stack\base_submission\task106.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task106_base_submission_NoopNodePruned.onnx,1164,1164,0,2939,2939,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task108,base_submission,outputs\current_6352_53_stack\base_submission\task108.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task108_base_submission_NoopNodePruned.onnx,1800,1800,0,7454,7454,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task113,base_submission,outputs\current_6352_53_stack\base_submission\task113.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task113_base_submission_NoopNodePruned.onnx,30,30,0,499,499,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task116,base_submission,outputs\current_6352_53_stack\base_submission\task116.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task116_base_submission_NoopNodePruned.onnx,30,30,0,479,479,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task120,base_submission,outputs\current_6352_53_stack\base_submission\task120.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task120_base_submission_NoopNodePruned.onnx,910,910,0,3836,3836,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task121,base_submission,outputs\current_6352_53_stack\base_submission\task121.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task121_base_submission_NoopNodePruned.onnx,6530,6530,0,3339,3339,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task122,base_submission,outputs\current_6352_53_stack\base_submission\task122.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task122_base_submission_NoopNodePruned.onnx,2510,2510,0,10236,10236,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task127,base_submission,outputs\current_6352_53_stack\base_submission\task127.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task127_base_submission_NoopNodePruned.onnx,900,900,0,3772,3772,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task139,base_submission,outputs\current_6352_53_stack\base_submission\task139.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task139_base_submission_NoopNodePruned.onnx,3630,3630,0,3865,3865,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task146,base_submission,outputs\current_6352_53_stack\base_submission\task146.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task146_base_submission_NoopNodePruned.onnx,2256,2256,0,1894,1894,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task147,base_submission,outputs\current_6352_53_stack\base_submission\task147.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task147_base_submission_NoopNodePruned.onnx,910,910,0,3825,3825,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task162,base_submission,outputs\current_6352_53_stack\base_submission\task162.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task162_base_submission_NoopNodePruned.onnx,63291,63291,0,2268,2268,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
