task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task001,outputs\current_6352_53_stack\overrides\task001.onnx,outputs\candidates\current_6352_53_zero_add_removed\task001_ZeroAddRemoved.onnx,150,150,0,1172,1172,0,0,0,no zero-add patterns found
task002,outputs\current_6352_53_stack\overrides\task002.onnx,outputs\candidates\current_6352_53_zero_add_removed\task002_ZeroAddRemoved.onnx,765,765,0,14560,14560,0,0,0,no zero-add patterns found
task003,outputs\current_6352_53_stack\overrides\task003.onnx,outputs\candidates\current_6352_53_zero_add_removed\task003_ZeroAddRemoved.onnx,138,138,0,5000,5000,0,0,0,no zero-add patterns found
task004,outputs\current_6352_53_stack\overrides\task004.onnx,outputs\candidates\current_6352_53_zero_add_removed\task004_ZeroAddRemoved.onnx,3060,3060,0,2522,2522,0,0,0,no zero-add patterns found
task005,outputs\current_6352_53_stack\overrides\task005.onnx,outputs\candidates\current_6352_53_zero_add_removed\task005_ZeroAddRemoved.onnx,16829,16829,0,79027,78179,-848,29,0,
task006,outputs\current_6352_53_stack\overrides\task006.onnx,outputs\candidates\current_6352_53_zero_add_removed\task006_ZeroAddRemoved.onnx,235,235,0,1133,1133,0,0,0,no zero-add patterns found
task007,outputs\current_6352_53_stack\overrides\task007.onnx,outputs\candidates\current_6352_53_zero_add_removed\task007_ZeroAddRemoved.onnx,267,267,0,1258,1258,0,0,0,no zero-add patterns found
task008,outputs\current_6352_53_stack\overrides\task008.onnx,outputs\candidates\current_6352_53_zero_add_removed\task008_ZeroAddRemoved.onnx,377,377,0,7647,7647,0,0,0,no zero-add patterns found
task009,outputs\current_6352_53_stack\overrides\task009.onnx,outputs\candidates\current_6352_53_zero_add_removed\task009_ZeroAddRemoved.onnx,250,250,0,1879,1879,0,0,0,no zero-add patterns found
task010,outputs\current_6352_53_stack\overrides\task010.onnx,outputs\candidates\current_6352_53_zero_add_removed\task010_ZeroAddRemoved.onnx,432,432,0,6176,6176,0,0,0,no zero-add patterns found
task011,outputs\current_6352_53_stack\overrides\task011.onnx,outputs\candidates\current_6352_53_zero_add_removed\task011_ZeroAddRemoved.onnx,7065,7065,0,8259,8259,0,0,0,no zero-add patterns found
task012,outputs\current_6352_53_stack\overrides\task012.onnx,outputs\candidates\current_6352_53_zero_add_removed\task012_ZeroAddRemoved.onnx,596,596,0,1906,1906,0,0,0,no zero-add patterns found
task013,outputs\current_6352_53_stack\overrides\task013.onnx,outputs\candidates\current_6352_53_zero_add_removed\task013_ZeroAddRemoved.onnx,3389,3389,0,5825,5769,-56,2,0,
task014,outputs\current_6352_53_stack\overrides\task014.onnx,outputs\candidates\current_6352_53_zero_add_removed\task014_ZeroAddRemoved.onnx,3375,3375,0,5317,5317,0,0,0,no zero-add patterns found
task015,outputs\current_6352_53_stack\overrides\task015.onnx,outputs\candidates\current_6352_53_zero_add_removed\task015_ZeroAddRemoved.onnx,4500,4500,0,3774,3774,0,0,0,no zero-add patterns found
task016,outputs\current_6352_53_stack\overrides\task016.onnx,outputs\candidates\current_6352_53_zero_add_removed\task016_ZeroAddRemoved.onnx,90,90,0,158,158,0,0,0,no zero-add patterns found
task017,outputs\current_6352_53_stack\overrides\task017.onnx,outputs\candidates\current_6352_53_zero_add_removed\task017_ZeroAddRemoved.onnx,1523,1523,0,5539,5539,0,0,0,no zero-add patterns found
task018,outputs\current_6352_53_stack\overrides\task018.onnx,outputs\candidates\current_6352_53_zero_add_removed\task018_ZeroAddRemoved.onnx,15008,15008,0,58591,58479,-112,4,0,
task019,outputs\current_6352_53_stack\overrides\task019.onnx,outputs\candidates\current_6352_53_zero_add_removed\task019_ZeroAddRemoved.onnx,446,446,0,2441,2441,0,0,0,no zero-add patterns found
task020,outputs\current_6352_53_stack\overrides\task020.onnx,outputs\candidates\current_6352_53_zero_add_removed\task020_ZeroAddRemoved.onnx,788,788,0,14531,14531,0,0,0,no zero-add patterns found
task021,outputs\current_6352_53_stack\overrides\task021.onnx,outputs\candidates\current_6352_53_zero_add_removed\task021_ZeroAddRemoved.onnx,725,725,0,2678,2678,0,0,0,no zero-add patterns found
task022,outputs\current_6352_53_stack\overrides\task022.onnx,outputs\candidates\current_6352_53_zero_add_removed\task022_ZeroAddRemoved.onnx,1044,1044,0,2028,2028,0,0,0,no zero-add patterns found
task023,outputs\current_6352_53_stack\overrides\task023.onnx,outputs\candidates\current_6352_53_zero_add_removed\task023_ZeroAddRemoved.onnx,303,303,0,27770,27770,0,0,0,no zero-add patterns found
task024,outputs\current_6352_53_stack\overrides\task024.onnx,outputs\candidates\current_6352_53_zero_add_removed\task024_ZeroAddRemoved.onnx,765,765,0,3233,3233,0,0,0,no zero-add patterns found
task025,outputs\current_6352_53_stack\overrides\task025.onnx,outputs\candidates\current_6352_53_zero_add_removed\task025_ZeroAddRemoved.onnx,468,468,0,4914,4914,0,0,0,no zero-add patterns found
task026,outputs\current_6352_53_stack\overrides\task026.onnx,outputs\candidates\current_6352_53_zero_add_removed\task026_ZeroAddRemoved.onnx,210,210,0,1309,1309,0,0,0,no zero-add patterns found
task027,outputs\current_6352_53_stack\overrides\task027.onnx,outputs\candidates\current_6352_53_zero_add_removed\task027_ZeroAddRemoved.onnx,329,329,0,2073,2073,0,0,0,no zero-add patterns found
task028,outputs\current_6352_53_stack\overrides\task028.onnx,outputs\candidates\current_6352_53_zero_add_removed\task028_ZeroAddRemoved.onnx,857,857,0,2079,2079,0,0,0,no zero-add patterns found
