task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task001,outputs\current_6349_78_stack\overrides\task001.onnx,outputs\candidates\dedup_6349_78\task001_DeduplicateInitializers.onnx,150,150,0,1172,1172,0,4,4,0,0
task002,outputs\current_6349_78_stack\overrides\task002.onnx,outputs\candidates\dedup_6349_78\task002_DeduplicateInitializers.onnx,765,765,0,14560,14560,0,31,31,0,0
task003,outputs\current_6349_78_stack\overrides\task003.onnx,outputs\candidates\dedup_6349_78\task003_DeduplicateInitializers.onnx,138,138,0,5000,5000,0,12,12,0,0
task004,outputs\current_6349_78_stack\overrides\task004.onnx,outputs\candidates\dedup_6349_78\task004_DeduplicateInitializers.onnx,3060,3060,0,2522,2522,0,4,4,0,0
task005,outputs\current_6349_78_stack\overrides\task005.onnx,outputs\candidates\dedup_6349_78\task005_DeduplicateInitializers.onnx,16829,16829,0,79027,79027,0,97,97,0,0
task006,outputs\current_6349_78_stack\overrides\task006.onnx,outputs\candidates\dedup_6349_78\task006_DeduplicateInitializers.onnx,235,235,0,1133,1133,0,6,6,0,0
task007,outputs\current_6349_78_stack\overrides\task007.onnx,outputs\candidates\dedup_6349_78\task007_DeduplicateInitializers.onnx,267,267,0,1258,1258,0,13,13,0,0
task008,outputs\current_6349_78_stack\overrides\task008.onnx,outputs\candidates\dedup_6349_78\task008_DeduplicateInitializers.onnx,377,377,0,7647,7647,0,20,20,0,0
task009,outputs\current_6349_78_stack\overrides\task009.onnx,outputs\candidates\dedup_6349_78\task009_DeduplicateInitializers.onnx,250,250,0,1879,1879,0,12,12,0,0
task010,outputs\current_6349_78_stack\overrides\task010.onnx,outputs\candidates\dedup_6349_78\task010_DeduplicateInitializers.onnx,432,432,0,6176,6176,0,25,25,0,0
task011,outputs\current_6349_78_stack\overrides\task011.onnx,outputs\candidates\dedup_6349_78\task011_DeduplicateInitializers.onnx,7065,7065,0,8259,8259,0,22,22,0,0
task012,outputs\current_6349_78_stack\overrides\task012.onnx,outputs\candidates\dedup_6349_78\task012_DeduplicateInitializers.onnx,596,596,0,1906,1906,0,14,14,0,0
task013,outputs\current_6349_78_stack\overrides\task013.onnx,outputs\candidates\dedup_6349_78\task013_DeduplicateInitializers.onnx,3389,3389,0,5825,5825,0,21,21,0,0
task014,outputs\current_6349_78_stack\overrides\task014.onnx,outputs\candidates\dedup_6349_78\task014_DeduplicateInitializers.onnx,3375,3375,0,5317,5317,0,17,17,0,0
task015,outputs\current_6349_78_stack\overrides\task015.onnx,outputs\candidates\dedup_6349_78\task015_DeduplicateInitializers.onnx,4500,4500,0,3774,3774,0,1,1,0,0
task016,outputs\current_6349_78_stack\overrides\task016.onnx,outputs\candidates\dedup_6349_78\task016_DeduplicateInitializers.onnx,90,90,0,158,158,0,1,1,0,0
task017,outputs\current_6349_78_stack\overrides\task017.onnx,outputs\candidates\dedup_6349_78\task017_DeduplicateInitializers.onnx,1523,1523,0,5539,5539,0,27,27,0,0
task018,outputs\current_6349_78_stack\overrides\task018.onnx,outputs\candidates\dedup_6349_78\task018_DeduplicateInitializers.onnx,15008,15008,0,58628,58628,0,42,42,0,0
task019,outputs\current_6349_78_stack\overrides\task019.onnx,outputs\candidates\dedup_6349_78\task019_DeduplicateInitializers.onnx,446,446,0,2441,2441,0,13,13,0,0
task020,outputs\current_6349_78_stack\overrides\task020.onnx,outputs\candidates\dedup_6349_78\task020_DeduplicateInitializers.onnx,788,788,0,14531,14531,0,26,26,0,0
task021,outputs\current_6349_78_stack\overrides\task021.onnx,outputs\candidates\dedup_6349_78\task021_DeduplicateInitializers.onnx,725,725,0,2678,2678,0,10,10,0,0
task022,outputs\current_6349_78_stack\overrides\task022.onnx,outputs\candidates\dedup_6349_78\task022_DeduplicateInitializers.onnx,1044,1044,0,2028,2028,0,16,16,0,0
task023,outputs\current_6349_78_stack\overrides\task023.onnx,outputs\candidates\dedup_6349_78\task023_DeduplicateInitializers.onnx,303,303,0,27770,27770,0,16,16,0,0
task024,outputs\current_6349_78_stack\overrides\task024.onnx,outputs\candidates\dedup_6349_78\task024_DeduplicateInitializers.onnx,765,765,0,3233,3233,0,11,11,0,0
task025,outputs\current_6349_78_stack\overrides\task025.onnx,outputs\candidates\dedup_6349_78\task025_DeduplicateInitializers.onnx,468,468,0,4914,4914,0,18,18,0,0
task026,outputs\current_6349_78_stack\overrides\task026.onnx,outputs\candidates\dedup_6349_78\task026_DeduplicateInitializers.onnx,210,210,0,1309,1309,0,8,8,0,0
task027,outputs\current_6349_78_stack\overrides\task027.onnx,outputs\candidates\dedup_6349_78\task027_DeduplicateInitializers.onnx,329,329,0,2073,2073,0,12,12,0,0
task028,outputs\current_6349_78_stack\overrides\task028.onnx,outputs\candidates\dedup_6349_78\task028_DeduplicateInitializers.onnx,857,857,0,2079,2079,0,10,10,0,0
task029,outputs\current_6349_78_stack\overrides\task029.onnx,outputs\candidates\dedup_6349_78\task029_DeduplicateInitializers.onnx,978,978,0,13589,13589,0,15,15,0,0
task030,outputs\current_6349_78_stack\overrides\task030.onnx,outputs\candidates\dedup_6349_78\task030_DeduplicateInitializers.onnx,1698,1698,0,3134,3134,0,15,15,0,0
task031,outputs\current_6349_78_stack\overrides\task031.onnx,outputs\candidates\dedup_6349_78\task031_DeduplicateInitializers.onnx,470,470,0,3417,3417,0,13,13,0,0
task032,outputs\current_6349_78_stack\overrides\task032.onnx,outputs\candidates\dedup_6349_78\task032_DeduplicateInitializers.onnx,409,409,0,2347,2347,0,10,10,0,0
task033,outputs\current_6349_78_stack\overrides\task033.onnx,outputs\candidates\dedup_6349_78\task033_DeduplicateInitializers.onnx,369,369,0,1510,1510,0,6,6,0,0
task034,outputs\current_6349_78_stack\overrides\task034.onnx,outputs\candidates\dedup_6349_78\task034_DeduplicateInitializers.onnx,353,353,0,4303,4303,0,15,15,0,0
task035,outputs\current_6349_78_stack\overrides\task035.onnx,outputs\candidates\dedup_6349_78\task035_DeduplicateInitializers.onnx,455,455,0,3707,3707,0,16,16,0,0
task036,outputs\current_6349_78_stack\overrides\task036.onnx,outputs\candidates\dedup_6349_78\task036_DeduplicateInitializers.onnx,867,867,0,3950,3950,0,16,16,0,0
task037,outputs\current_6349_78_stack\overrides\task037.onnx,outputs\candidates\dedup_6349_78\task037_DeduplicateInitializers.onnx,25086,25086,0,19527,19527,0,13,13,0,0
task038,outputs\current_6349_78_stack\overrides\task038.onnx,outputs\candidates\dedup_6349_78\task038_DeduplicateInitializers.onnx,298,298,0,2559,2559,0,13,13,0,0
