task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task001,outputs\onnx\task001.onnx,outputs\candidates\deduplicated_all\task001_DeduplicateInitializers.onnx,172,172,0,1433,1433,0,4,4,0,0
task002,outputs\onnx\task002.onnx,outputs\candidates\deduplicated_all\task002_DeduplicateInitializers.onnx,1965,1965,0,15506,15506,0,32,32,0,0
task003,outputs\onnx\task003.onnx,outputs\candidates\deduplicated_all\task003_DeduplicateInitializers.onnx,74,74,0,4167,4167,0,10,10,0,0
task004,outputs\onnx\task004.onnx,outputs\candidates\deduplicated_all\task004_DeduplicateInitializers.onnx,3060,3060,0,2522,2522,0,4,4,0,0
task005,outputs\onnx\task005.onnx,outputs\candidates\deduplicated_all\task005_DeduplicateInitializers.onnx,1044,1044,0,10910,10910,0,19,19,0,0
task006,outputs\onnx\task006.onnx,outputs\candidates\deduplicated_all\task006_DeduplicateInitializers.onnx,339,339,0,1364,1364,0,10,10,0,0
task007,outputs\onnx\task007.onnx,outputs\candidates\deduplicated_all\task007_DeduplicateInitializers.onnx,271,271,0,1603,1603,0,13,13,0,0
task008,outputs\onnx\task008.onnx,outputs\candidates\deduplicated_all\task008_DeduplicateInitializers.onnx,382,382,0,7667,7667,0,21,21,0,0
task009,outputs\onnx\task009.onnx,outputs\candidates\deduplicated_all\task009_DeduplicateInitializers.onnx,33147,33147,0,30956,30956,0,6,6,0,0
task010,outputs\onnx\task010.onnx,outputs\candidates\deduplicated_all\task010_DeduplicateInitializers.onnx,521,521,0,6061,6061,0,26,26,0,0
task011,outputs\onnx\task011.onnx,outputs\candidates\deduplicated_all\task011_DeduplicateInitializers.onnx,7065,7065,0,10170,10170,0,22,22,0,0
task012,outputs\onnx\task012.onnx,outputs\candidates\deduplicated_all\task012_DeduplicateInitializers.onnx,587,587,0,1948,1948,0,13,13,0,0
task013,outputs\onnx\task013.onnx,outputs\candidates\deduplicated_all\task013_DeduplicateInitializers.onnx,6795,6795,0,18384,18384,0,16,16,0,0
task014,outputs\onnx\task014.onnx,outputs\candidates\deduplicated_all\task014_DeduplicateInitializers.onnx,0,0,0,14357,14357,0,0,0,0,0
task015,outputs\onnx\task015.onnx,outputs\candidates\deduplicated_all\task015_DeduplicateInitializers.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task016,outputs\onnx\task016.onnx,outputs\candidates\deduplicated_all\task016_DeduplicateInitializers.onnx,90,90,0,158,158,0,1,1,0,0
task017,outputs\onnx\task017.onnx,outputs\candidates\deduplicated_all\task017_DeduplicateInitializers.onnx,2419,2419,0,8620,8620,0,27,27,0,0
task018,outputs\onnx\task018.onnx,outputs\candidates\deduplicated_all\task018_DeduplicateInitializers.onnx,3315,3315,0,32157,32157,0,31,31,0,0
task019,outputs\onnx\task019.onnx,outputs\candidates\deduplicated_all\task019_DeduplicateInitializers.onnx,16326,16326,0,17887,17887,0,12,12,0,0
task020,outputs\onnx\task020.onnx,outputs\candidates\deduplicated_all\task020_DeduplicateInitializers.onnx,2406,2406,0,31378,31378,0,25,25,0,0
task021,outputs\onnx\task021.onnx,outputs\candidates\deduplicated_all\task021_DeduplicateInitializers.onnx,16652,16652,0,38201,38201,0,20,20,0,0
task022,outputs\onnx\task022.onnx,outputs\candidates\deduplicated_all\task022_DeduplicateInitializers.onnx,531,531,0,43895,43895,0,24,24,0,0
task023,outputs\onnx\task023.onnx,outputs\candidates\deduplicated_all\task023_DeduplicateInitializers.onnx,125,116,-9,20163,20138,-25,14,13,0,1
task024,outputs\onnx\task024.onnx,outputs\candidates\deduplicated_all\task024_DeduplicateInitializers.onnx,765,765,0,3233,3233,0,11,11,0,0
task025,outputs\onnx\task025.onnx,outputs\candidates\deduplicated_all\task025_DeduplicateInitializers.onnx,1289,839,-450,93402,92727,-675,24,15,0,9
task026,outputs\onnx\task026.onnx,outputs\candidates\deduplicated_all\task026_DeduplicateInitializers.onnx,312,312,0,1622,1622,0,8,8,0,0
task027,outputs\onnx\task027.onnx,outputs\candidates\deduplicated_all\task027_DeduplicateInitializers.onnx,36154,36154,0,31135,31135,0,13,13,0,0
task028,outputs\onnx\task028.onnx,outputs\candidates\deduplicated_all\task028_DeduplicateInitializers.onnx,63050,63050,0,51218,51218,0,6,6,0,0
task029,outputs\onnx\task029.onnx,outputs\candidates\deduplicated_all\task029_DeduplicateInitializers.onnx,978,978,0,13589,13589,0,15,15,0,0
task030,outputs\onnx\task030.onnx,outputs\candidates\deduplicated_all\task030_DeduplicateInitializers.onnx,5171,5171,0,9441,9441,0,13,13,0,0
task031,outputs\onnx\task031.onnx,outputs\candidates\deduplicated_all\task031_DeduplicateInitializers.onnx,470,470,0,3417,3417,0,13,13,0,0
task032,outputs\onnx\task032.onnx,outputs\candidates\deduplicated_all\task032_DeduplicateInitializers.onnx,409,409,0,2347,2347,0,10,10,0,0
