task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task001,outputs\onnx\task001.onnx,outputs\candidates\dtype_ablation_20260609\task001_InitializerDtypeCompression.onnx,172,172,0,1433,1433,0,4,4,0,0
task002,outputs\onnx\task002.onnx,outputs\candidates\dtype_ablation_20260609\task002_InitializerDtypeCompression.onnx,1965,1565,-400,15506,15184,-322,32,32,1,400
task003,outputs\onnx\task003.onnx,outputs\candidates\dtype_ablation_20260609\task003_InitializerDtypeCompression.onnx,74,74,0,4167,4167,0,10,10,0,0
task004,outputs\onnx\task004.onnx,outputs\candidates\dtype_ablation_20260609\task004_InitializerDtypeCompression.onnx,3060,3060,0,2522,2522,0,4,4,0,0
task005,outputs\onnx\task005.onnx,outputs\candidates\dtype_ablation_20260609\task005_InitializerDtypeCompression.onnx,1044,782,-262,10910,10924,14,19,19,3,262
task006,outputs\onnx\task006.onnx,outputs\candidates\dtype_ablation_20260609\task006_InitializerDtypeCompression.onnx,339,339,0,1364,1364,0,10,10,0,0
task007,outputs\onnx\task007.onnx,outputs\candidates\dtype_ablation_20260609\task007_InitializerDtypeCompression.onnx,271,271,0,1603,1603,0,13,13,0,0
task008,outputs\onnx\task008.onnx,outputs\candidates\dtype_ablation_20260609\task008_InitializerDtypeCompression.onnx,382,382,0,7667,7667,0,21,21,0,0
task009,outputs\onnx\task009.onnx,outputs\candidates\dtype_ablation_20260609\task009_InitializerDtypeCompression.onnx,33147,7747,-25400,30956,5729,-25227,6,6,3,3800
task010,outputs\onnx\task010.onnx,outputs\candidates\dtype_ablation_20260609\task010_InitializerDtypeCompression.onnx,521,521,0,6061,6061,0,26,26,0,0
task011,outputs\onnx\task011.onnx,outputs\candidates\dtype_ablation_20260609\task011_InitializerDtypeCompression.onnx,7065,4766,-2299,10170,8615,-1555,22,22,10,2299
task012,outputs\onnx\task012.onnx,outputs\candidates\dtype_ablation_20260609\task012_InitializerDtypeCompression.onnx,587,587,0,1948,1948,0,13,13,0,0
task013,outputs\onnx\task013.onnx,outputs\candidates\dtype_ablation_20260609\task013_InitializerDtypeCompression.onnx,6795,4545,-2250,18384,18064,-320,16,16,10,2250
task014,outputs\onnx\task014.onnx,outputs\candidates\dtype_ablation_20260609\task014_InitializerDtypeCompression.onnx,0,0,0,14357,14357,0,0,0,0,0
task015,outputs\onnx\task015.onnx,outputs\candidates\dtype_ablation_20260609\task015_InitializerDtypeCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task016,outputs\onnx\task016.onnx,outputs\candidates\dtype_ablation_20260609\task016_InitializerDtypeCompression.onnx,90,90,0,158,158,0,1,1,0,0
task017,outputs\onnx\task017.onnx,outputs\candidates\dtype_ablation_20260609\task017_InitializerDtypeCompression.onnx,2419,2419,0,8620,8620,0,27,27,0,0
