task_id,model_path,row_count,shared_value_count,initializer_count,constant_count,total_elements,total_bytes,rank_set,dtype_set,max_tail_elements,has_arange_vector,has_arange_column,has_zero_table,has_small_integer_table,example_values,value_names,priority_score
task157,outputs\onnx\task157.onnx,1044,2,2,0,157644,634752,1|2,int32|int64,150,False,False,False,False,initializer:plac_idx_963:1044x150:int32; initializer:expand_idx_983:1044:int64,initializer:plac_idx_963:1044x150:int32; initializer:expand_idx_983:1044:int64,157644
task255,outputs\onnx\task255.onnx,452,9,9,0,17176,39776,1|2,float16|int64,30,False,False,False,False,initializer:I0:452:float16; initializer:I1:452:float16; initializer:ILEN:452:float16; initializer:MEMB:452x30:float16; initializer:AT0:452:float16; initializer:AT1:452:float16; initializer:rng:452:float16; initializer:up_idx:452:int64; initializer:dn_idx:452:int64,initializer:I0:452:float16; initializer:I1:452:float16; initializer:ILEN:452:float16; initializer:MEMB:452x30:float16; initializer:AT0:452:float16; initializer:AT1:452:float16; initializer:rng:452:float16; initializer:up_idx:452:int64; initializer:dn_idx:452:int64,137408
task396,outputs\onnx\task396.onnx,210,4,4,0,840,6720,1,int64,1,False,False,False,False,initializer:row_bank_1:210:int64; initializer:col_bank_1:210:int64; initializer:row_bank_5:210:int64; initializer:col_bank_5:210:int64,initializer:row_bank_1:210:int64; initializer:col_bank_1:210:int64; initializer:row_bank_5:210:int64; initializer:col_bank_5:210:int64,2520
task396,outputs\onnx\task396.onnx,182,4,4,0,728,5824,1,int64,1,False,False,False,False,initializer:row_bank_7:182:int64; initializer:col_bank_7:182:int64; initializer:row_bank_10:182:int64; initializer:col_bank_10:182:int64,initializer:row_bank_7:182:int64; initializer:col_bank_7:182:int64; initializer:row_bank_10:182:int64; initializer:col_bank_10:182:int64,2184
task396,outputs\onnx\task396.onnx,180,4,4,0,720,5760,1,int64,1,False,False,False,False,initializer:row_bank_3:180:int64; initializer:col_bank_3:180:int64; initializer:row_bank_14:180:int64; initializer:col_bank_14:180:int64,initializer:row_bank_3:180:int64; initializer:col_bank_3:180:int64; initializer:row_bank_14:180:int64; initializer:col_bank_14:180:int64,2160
task396,outputs\onnx\task396.onnx,168,4,4,0,672,5376,1,int64,1,False,False,False,False,initializer:row_bank_8:168:int64; initializer:col_bank_8:168:int64; initializer:row_bank_15:168:int64; initializer:col_bank_15:168:int64,initializer:row_bank_8:168:int64; initializer:col_bank_8:168:int64; initializer:row_bank_15:168:int64; initializer:col_bank_15:168:int64,2016
task396,outputs\onnx\task396.onnx,165,4,4,0,660,5280,1,int64,1,False,False,False,False,initializer:row_bank_4:165:int64; initializer:col_bank_4:165:int64; initializer:row_bank_19:165:int64; initializer:col_bank_19:165:int64,initializer:row_bank_4:165:int64; initializer:col_bank_4:165:int64; initializer:row_bank_19:165:int64; initializer:col_bank_19:165:int64,1980
task396,outputs\onnx\task396.onnx,156,4,4,0,624,4992,1,int64,1,False,False,False,False,initializer:row_bank_12:156:int64; initializer:col_bank_12:156:int64; initializer:row_bank_16:156:int64; initializer:col_bank_16:156:int64,initializer:row_bank_12:156:int64; initializer:col_bank_12:156:int64; initializer:row_bank_16:156:int64; initializer:col_bank_16:156:int64,1872
task396,outputs\onnx\task396.onnx,154,4,4,0,616,4928,1,int64,1,False,False,False,False,initializer:row_bank_9:154:int64; initializer:col_bank_9:154:int64; initializer:row_bank_20:154:int64; initializer:col_bank_20:154:int64,initializer:row_bank_9:154:int64; initializer:col_bank_9:154:int64; initializer:row_bank_20:154:int64; initializer:col_bank_20:154:int64,1848
task396,outputs\onnx\task396.onnx,143,4,4,0,572,4576,1,int64,1,False,False,False,False,initializer:row_bank_13:143:int64; initializer:col_bank_13:143:int64; initializer:row_bank_21:143:int64; initializer:col_bank_21:143:int64,initializer:row_bank_13:143:int64; initializer:col_bank_13:143:int64; initializer:row_bank_21:143:int64; initializer:col_bank_21:143:int64,1716
