task_id,initializer_name,pattern,rewrite_type,source_cost,output_cost,cost_delta,source_file_size,output_file_size,output_model_path,valid,train_pass,test_pass,arc_gen_pass,failure_reason
task157,plac_idx_963,int_index_table,dtype_compress,809080,809080,0,677188,677188,outputs\candidates\gather_rewrite_global\task157_plac_idx_963_dtype_compress.onnx,True,2,1,262,"compressed plac_idx_963: uint16 (from int32, range [15,603]), saved 0 bytes"
task133,patch_ends_bank,int_index_table,dtype_compress,1406822,1277222,-129600,783434,880634,outputs\candidates\gather_rewrite_global\task133_patch_ends_bank_dtype_compress.onnx,False,,,,validation error: [ONNXRuntimeError] : 1 : FAIL : Load model from outputs\candidates\gather_rewrite_global\task133_patch_ends_bank_dtype_compress.onnx failed:Type Error: Type (tensor(int64)) of output arg (patch_ends_gather) of node (patch_ends_gather) does not match expected type (tensor(int32)).
task133,patch_starts_bank,int_index_table,dtype_compress,1406822,1277222,-129600,783434,880634,outputs\candidates\gather_rewrite_global\task133_patch_starts_bank_dtype_compress.onnx,False,,,,validation error: [ONNXRuntimeError] : 1 : FAIL : Load model from outputs\candidates\gather_rewrite_global\task133_patch_starts_bank_dtype_compress.onnx failed:Type Error: Type (tensor(int64)) of output arg (patch_starts_gather) of node (patch_starts_gather) does not match expected type (tensor(int32)).
task233,combo,int_index_table,dtype_compress,661410,598910,-62500,924434,861934,outputs\candidates\gather_rewrite_global\task233_combo_dtype_compress.onnx,True,3,1,262,"compressed combo: uint8 (from int64, range [0,4]), saved 62500 bytes"
task009,v0,int_index_table,dtype_compress,33147,18747,-14400,30956,16554,outputs\candidates\gather_rewrite_global\task009_v0_dtype_compress.onnx,False,,,,validation error: [ONNXRuntimeError] : 10 : INVALID_GRAPH : Load model from outputs\candidates\gather_rewrite_global\task009_v0_dtype_compress.onnx failed:This is an invalid model. Type Error: Type 'tensor(int32)' of input parameter (v0) of operator (GatherND) in node () is invalid.
task233,onnx::Gather_3047,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3047_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3047: uint8 (from int64, range [0,4]), saved 12500 bytes"
task233,onnx::Gather_3056,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3056_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3056: uint8 (from int64, range [0,4]), saved 12500 bytes"
task233,onnx::Gather_3061,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3061_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3061: uint8 (from int64, range [0,4]), saved 12500 bytes"
task233,onnx::Gather_3066,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3066_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3066: uint8 (from int64, range [0,4]), saved 12500 bytes"
task233,onnx::Gather_3071,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3071_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3071: uint8 (from int64, range [0,4]), saved 12500 bytes"
task233,onnx::Gather_3079,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3079_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3079: uint8 (from int64, range [0,24]), saved 12500 bytes"
task233,onnx::Gather_3083,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3083_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3083: uint8 (from int64, range [0,24]), saved 12500 bytes"
task233,onnx::Gather_3087,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3087_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3087: uint8 (from int64, range [0,24]), saved 12500 bytes"
task233,onnx::Gather_3091,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3091_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3091: uint8 (from int64, range [0,24]), saved 12500 bytes"
task233,onnx::Gather_3095,int_index_table,dtype_compress,661410,648910,-12500,924434,911932,outputs\candidates\gather_rewrite_global\task233_onnx_Gather_3095_dtype_compress.onnx,True,3,1,262,"compressed onnx::Gather_3095: uint8 (from int64, range [0,24]), saved 12500 bytes"
