task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task001,True,outputs\hybrid_6275_current_min_cost_onnx\task001.onnx,150,1082,,True
task002,True,outputs\hybrid_6275_current_min_cost_onnx\task002.onnx,765,14560,,True
task003,True,outputs\hybrid_6275_current_min_cost_onnx\task003.onnx,74,4167,,True
task004,False,outputs\hybrid_6275_current_min_cost_onnx\task004.onnx,3060,2522,nonzero_padding_cells: case=0,False
task005,True,outputs\hybrid_6275_current_min_cost_onnx\task005.onnx,1044,10910,,True
task006,True,outputs\hybrid_6275_current_min_cost_onnx\task006.onnx,297,1124,,True
task007,True,outputs\hybrid_6275_current_min_cost_onnx\task007.onnx,267,1258,,True
task008,True,outputs\hybrid_6275_current_min_cost_onnx\task008.onnx,377,7647,,True
task009,True,outputs\hybrid_6275_current_min_cost_onnx\task009.onnx,33147,30956,,True
task010,True,outputs\hybrid_6275_current_min_cost_onnx\task010.onnx,432,6176,,True
task011,True,outputs\hybrid_6275_current_min_cost_onnx\task011.onnx,7065,10170,,True
task012,True,outputs\hybrid_6275_current_min_cost_onnx\task012.onnx,587,1948,,True
task013,True,outputs\hybrid_6275_current_min_cost_onnx\task013.onnx,6795,18384,,True
task014,True,outputs\hybrid_6275_current_min_cost_onnx\task014.onnx,0,14357,,True
task015,True,outputs\hybrid_6275_current_min_cost_onnx\task015.onnx,4500,3774,,True
task016,True,outputs\hybrid_6275_current_min_cost_onnx\task016.onnx,90,158,,True
task017,True,outputs\hybrid_6275_current_min_cost_onnx\task017.onnx,1523,5585,,True
task018,True,outputs\hybrid_6275_current_min_cost_onnx\task018.onnx,3245,29350,,True
task019,True,outputs\hybrid_6275_current_min_cost_onnx\task019.onnx,570,2566,,True
task020,True,outputs\hybrid_6275_current_min_cost_onnx\task020.onnx,786,19672,,True
task021,True,outputs\hybrid_6275_current_min_cost_onnx\task021.onnx,725,15197,,True
task022,True,outputs\hybrid_6275_current_min_cost_onnx\task022.onnx,531,43895,,True
task023,True,outputs\hybrid_6275_current_min_cost_onnx\task023.onnx,116,20138,,True
task024,True,outputs\hybrid_6275_current_min_cost_onnx\task024.onnx,765,3233,,True
task025,True,outputs\hybrid_6275_current_min_cost_onnx\task025.onnx,447,13460,,True
task026,True,outputs\hybrid_6275_current_min_cost_onnx\task026.onnx,210,1309,,True
task027,True,outputs\hybrid_6275_current_min_cost_onnx\task027.onnx,329,2073,,True
task028,True,outputs\hybrid_6275_current_min_cost_onnx\task028.onnx,857,2079,,True
task029,True,outputs\hybrid_6275_current_min_cost_onnx\task029.onnx,978,13589,,True
task030,True,outputs\hybrid_6275_current_min_cost_onnx\task030.onnx,924,7164,,True
task031,True,outputs\hybrid_6275_current_min_cost_onnx\task031.onnx,470,3417,,True
task032,True,outputs\hybrid_6275_current_min_cost_onnx\task032.onnx,409,2347,,True
task033,True,outputs\hybrid_6275_current_min_cost_onnx\task033.onnx,369,1510,,True
task034,True,outputs\hybrid_6275_current_min_cost_onnx\task034.onnx,7701,8450,,True
task035,True,outputs\hybrid_6275_current_min_cost_onnx\task035.onnx,455,3707,,True
task036,True,outputs\hybrid_6275_current_min_cost_onnx\task036.onnx,867,3950,,True
task037,True,outputs\hybrid_6275_current_min_cost_onnx\task037.onnx,25086,20424,,True
task038,True,outputs\hybrid_6275_current_min_cost_onnx\task038.onnx,298,2559,,True
task039,True,outputs\hybrid_6275_current_min_cost_onnx\task039.onnx,248,1913,,True
task040,True,outputs\hybrid_6275_current_min_cost_onnx\task040.onnx,370,4104,,True
task041,True,outputs\hybrid_6275_current_min_cost_onnx\task041.onnx,187,2110,,True
task042,False,outputs\hybrid_6275_current_min_cost_onnx\task042.onnx,,,evaluation_subprocess_failed: returncode=3221225477 ,False
task043,True,outputs\hybrid_6275_current_min_cost_onnx\task043.onnx,772,2224,,True
task044,True,outputs\hybrid_6275_current_min_cost_onnx\task044.onnx,567,22589,,True
task045,True,outputs\hybrid_6275_current_min_cost_onnx\task045.onnx,225,1425,,True
task046,True,outputs\hybrid_6275_current_min_cost_onnx\task046.onnx,2772,5299,,True
task047,True,outputs\hybrid_6275_current_min_cost_onnx\task047.onnx,324,3091,,True
task048,True,outputs\hybrid_6275_current_min_cost_onnx\task048.onnx,396,4058,,True
task049,True,outputs\hybrid_6275_current_min_cost_onnx\task049.onnx,942,3516,,True
task050,True,outputs\hybrid_6275_current_min_cost_onnx\task050.onnx,675,2006,,True
task051,True,outputs\hybrid_6275_current_min_cost_onnx\task051.onnx,612,3352,,True
task052,True,outputs\hybrid_6275_current_min_cost_onnx\task052.onnx,231,986,,True
task053,True,outputs\hybrid_6275_current_min_cost_onnx\task053.onnx,270,175,,True
task054,True,outputs\hybrid_6275_current_min_cost_onnx\task054.onnx,1061,5551,,True
task055,True,outputs\hybrid_6275_current_min_cost_onnx\task055.onnx,3162,13886,,True
task056,True,outputs\hybrid_6275_current_min_cost_onnx\task056.onnx,231,815,,True
task057,True,outputs\hybrid_6275_current_min_cost_onnx\task057.onnx,99,1880,,True
task058,True,outputs\hybrid_6275_current_min_cost_onnx\task058.onnx,19415,14194,,True
task059,True,outputs\hybrid_6275_current_min_cost_onnx\task059.onnx,7821,6897,,True
task060,True,outputs\hybrid_6275_current_min_cost_onnx\task060.onnx,771,2458,,True
task061,True,outputs\hybrid_6275_current_min_cost_onnx\task061.onnx,17726,17030,,True
task062,True,outputs\hybrid_6275_current_min_cost_onnx\task062.onnx,2994,23218,,True
task063,True,outputs\hybrid_6275_current_min_cost_onnx\task063.onnx,276,3709,,True
task064,True,outputs\hybrid_6275_current_min_cost_onnx\task064.onnx,784,7151,,True
task065,True,outputs\hybrid_6275_current_min_cost_onnx\task065.onnx,369,1853,,True
task066,True,outputs\hybrid_6275_current_min_cost_onnx\task066.onnx,430,180173,,True
task067,True,outputs\hybrid_6275_current_min_cost_onnx\task067.onnx,165,892,,True
task068,True,outputs\hybrid_6275_current_min_cost_onnx\task068.onnx,177,1602,,True
task069,True,outputs\hybrid_6275_current_min_cost_onnx\task069.onnx,4602,30432,,True
task070,True,outputs\hybrid_6275_current_min_cost_onnx\task070.onnx,258,11844,,True
task071,True,outputs\hybrid_6275_current_min_cost_onnx\task071.onnx,393,5298,,True
task072,True,outputs\hybrid_6275_current_min_cost_onnx\task072.onnx,255,1289,,True
task073,False,outputs\hybrid_6275_current_min_cost_onnx\task073.onnx,4550,3825,nonzero_padding_cells: case=0,False
task074,True,outputs\hybrid_6275_current_min_cost_onnx\task074.onnx,321,1824,,True
task075,True,outputs\hybrid_6275_current_min_cost_onnx\task075.onnx,507,6812,,True
task076,True,outputs\hybrid_6275_current_min_cost_onnx\task076.onnx,1461,24619,,True
task077,True,outputs\hybrid_6275_current_min_cost_onnx\task077.onnx,921,3638,,True
task078,True,outputs\hybrid_6275_current_min_cost_onnx\task078.onnx,252,1974,,True
task079,True,outputs\hybrid_6275_current_min_cost_onnx\task079.onnx,1301,2695,,True
task080,True,outputs\hybrid_6275_current_min_cost_onnx\task080.onnx,1198,10180,,True
task081,True,outputs\hybrid_6275_current_min_cost_onnx\task081.onnx,627,3749,,True
task082,True,outputs\hybrid_6275_current_min_cost_onnx\task082.onnx,392,1638,,True
