task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task001,archive,outputs\hybrid_6275_current_safe_onnx\task001.onnx,150,1082,True,150,1082,,True,172,1433,
task002,archive,outputs\hybrid_6275_current_safe_onnx\task002.onnx,765,14560,True,765,14560,,True,1965,15506,
task003,current,outputs\hybrid_6275_current_safe_onnx\task003.onnx,74,4167,True,138,5000,,True,74,4167,
task004,current,outputs\hybrid_6275_current_safe_onnx\task004.onnx,3060,2522,True,3060,2522,,True,3060,2522,
task005,current,outputs\hybrid_6275_current_safe_onnx\task005.onnx,1044,10910,True,1044,10910,,True,1044,10910,
task006,archive,outputs\hybrid_6275_current_safe_onnx\task006.onnx,297,1124,True,297,1124,,True,339,1364,
task007,archive,outputs\hybrid_6275_current_safe_onnx\task007.onnx,267,1258,True,267,1258,,True,271,1603,
task008,archive,outputs\hybrid_6275_current_safe_onnx\task008.onnx,377,7647,True,377,7647,,True,382,7667,
task009,current,outputs\hybrid_6275_current_safe_onnx\task009.onnx,33147,30956,True,33147,30956,,True,33147,30956,
task010,archive,outputs\hybrid_6275_current_safe_onnx\task010.onnx,432,6176,True,432,6176,,True,521,6061,
task011,current,outputs\hybrid_6275_current_safe_onnx\task011.onnx,7065,10170,True,7065,10170,,True,7065,10170,
task012,current,outputs\hybrid_6275_current_safe_onnx\task012.onnx,587,1948,True,596,1906,,True,587,1948,
task013,current,outputs\hybrid_6275_current_safe_onnx\task013.onnx,6795,18384,True,6795,18384,,True,6795,18384,
task014,current,outputs\hybrid_6275_current_safe_onnx\task014.onnx,0,14357,True,3375,5317,,True,0,14357,
task015,archive,outputs\hybrid_6275_current_safe_onnx\task015.onnx,4500,3774,True,4500,3774,,True,4500,3798,
task016,current,outputs\hybrid_6275_current_safe_onnx\task016.onnx,90,158,True,90,158,,True,90,158,
task017,archive,outputs\hybrid_6275_current_safe_onnx\task017.onnx,1523,5585,True,1523,5585,,True,2419,8620,
task018,archive,outputs\hybrid_6275_current_safe_onnx\task018.onnx,3245,29350,True,3245,29350,,True,3315,32157,
task019,archive,outputs\hybrid_6275_current_safe_onnx\task019.onnx,570,2566,True,570,2566,,True,16326,17887,
task020,archive,outputs\hybrid_6275_current_safe_onnx\task020.onnx,786,19672,True,786,19672,,True,2406,31378,
task021,archive,outputs\hybrid_6275_current_safe_onnx\task021.onnx,725,15197,True,725,15197,,True,16652,38201,
task022,current,outputs\hybrid_6275_current_safe_onnx\task022.onnx,531,43895,True,1061,5021,,True,531,43895,
task023,current,outputs\hybrid_6275_current_safe_onnx\task023.onnx,116,20138,True,303,33105,,True,116,20138,
