task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task001,outputs\onnx\task001.onnx,outputs\candidates\identity_removed\task001_ZeroAddRemoved.onnx,172,172,0,1433,1433,0,0,0,no zero-add patterns found
task002,outputs\onnx\task002.onnx,outputs\candidates\identity_removed\task002_ZeroAddRemoved.onnx,1965,1965,0,15506,15506,0,0,0,no zero-add patterns found
task003,outputs\onnx\task003.onnx,outputs\candidates\identity_removed\task003_ZeroAddRemoved.onnx,74,74,0,4167,4167,0,0,0,no zero-add patterns found
task004,outputs\onnx\task004.onnx,outputs\candidates\identity_removed\task004_ZeroAddRemoved.onnx,3060,3060,0,2522,2522,0,0,0,no zero-add patterns found
task005,outputs\onnx\task005.onnx,outputs\candidates\identity_removed\task005_ZeroAddRemoved.onnx,1044,1044,0,10910,10910,0,0,0,no zero-add patterns found
task006,outputs\onnx\task006.onnx,outputs\candidates\identity_removed\task006_ZeroAddRemoved.onnx,339,339,0,1364,1364,0,0,0,no zero-add patterns found
task007,outputs\onnx\task007.onnx,outputs\candidates\identity_removed\task007_ZeroAddRemoved.onnx,271,271,0,1603,1603,0,0,0,no zero-add patterns found
task008,outputs\onnx\task008.onnx,outputs\candidates\identity_removed\task008_ZeroAddRemoved.onnx,382,382,0,7667,7667,0,0,0,no zero-add patterns found
task009,outputs\onnx\task009.onnx,outputs\candidates\identity_removed\task009_ZeroAddRemoved.onnx,33147,33147,0,30956,30956,0,0,0,no zero-add patterns found
task010,outputs\onnx\task010.onnx,outputs\candidates\identity_removed\task010_ZeroAddRemoved.onnx,521,521,0,6061,6061,0,0,0,no zero-add patterns found
task011,outputs\onnx\task011.onnx,outputs\candidates\identity_removed\task011_ZeroAddRemoved.onnx,7065,7065,0,10170,10170,0,0,0,no zero-add patterns found
task012,outputs\onnx\task012.onnx,outputs\candidates\identity_removed\task012_ZeroAddRemoved.onnx,587,587,0,1948,1948,0,0,0,no zero-add patterns found
task013,outputs\onnx\task013.onnx,outputs\candidates\identity_removed\task013_ZeroAddRemoved.onnx,6795,6795,0,18384,18384,0,0,0,no zero-add patterns found
task014,outputs\onnx\task014.onnx,outputs\candidates\identity_removed\task014_ZeroAddRemoved.onnx,0,0,0,14357,14357,0,0,0,no zero-add patterns found
task015,outputs\onnx\task015.onnx,outputs\candidates\identity_removed\task015_ZeroAddRemoved.onnx,4500,4500,0,3798,3798,0,0,0,no zero-add patterns found
task016,outputs\onnx\task016.onnx,outputs\candidates\identity_removed\task016_ZeroAddRemoved.onnx,90,90,0,158,158,0,0,0,no zero-add patterns found
task017,outputs\onnx\task017.onnx,outputs\candidates\identity_removed\task017_ZeroAddRemoved.onnx,2419,2419,0,8620,8620,0,0,0,no zero-add patterns found
task018,outputs\onnx\task018.onnx,outputs\candidates\identity_removed\task018_ZeroAddRemoved.onnx,3315,3315,0,32157,32157,0,0,0,no zero-add patterns found
