task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task076,outputs\onnx\task076.onnx,outputs\candidates\dtype_ablation_round2\task076_InitializerDtypeCompression.onnx,1147810,462346,-685464,948872,263489,-685383,44,44,1,228488
task233,outputs\onnx\task233.onnx,outputs\candidates\dtype_ablation_round2\task233_InitializerDtypeCompression.onnx,661410,222606,-438804,924434,487447,-436987,65,65,19,63804
task367,outputs\onnx\task367.onnx,outputs\candidates\dtype_ablation_round2\task367_InitializerDtypeCompression.onnx,219324,89148,-130176,227696,122031,-105665,322,322,248,43392
task363,outputs\onnx\task363.onnx,outputs\candidates\dtype_ablation_round2\task363_InitializerDtypeCompression.onnx,193391,79091,-114300,169035,54945,-114090,50,50,3,38100
task209,outputs\onnx\task209.onnx,outputs\candidates\dtype_ablation_round2\task209_InitializerDtypeCompression.onnx,144226,101338,-42888,349736,307701,-42035,71,71,13,6136
task396,outputs\onnx\task396.onnx,outputs\candidates\dtype_ablation_round2\task396_InitializerDtypeCompression.onnx,115080,37672,-77408,148123,79188,-68935,160,160,101,12560
task028,outputs\onnx\task028.onnx,outputs\candidates\dtype_ablation_round2\task028_InitializerDtypeCompression.onnx,63050,25250,-37800,51218,13787,-37431,6,6,5,12600
task255,outputs\onnx\task255.onnx,outputs\candidates\dtype_ablation_round2\task255_InitializerDtypeCompression.onnx,58680,37290,-21390,106804,85748,-21056,10,10,5,15810
task382,outputs\onnx\task382.onnx,outputs\candidates\dtype_ablation_round2\task382_InitializerDtypeCompression.onnx,54738,22158,-32580,65997,34291,-31706,27,27,14,10860
task107,outputs\onnx\task107.onnx,outputs\candidates\dtype_ablation_round2\task107_InitializerDtypeCompression.onnx,42039,27489,-14550,31191,18951,-12240,30,30,20,13650
task313,outputs\onnx\task313.onnx,outputs\candidates\dtype_ablation_round2\task313_InitializerDtypeCompression.onnx,40857,9147,-31710,39887,8696,-31191,12,12,6,4530
task290,outputs\onnx\task290.onnx,outputs\candidates\dtype_ablation_round2\task290_InitializerDtypeCompression.onnx,36386,9933,-26453,42089,16791,-25298,42,42,14,3845
task105,outputs\onnx\task105.onnx,outputs\candidates\dtype_ablation_round2\task105_InitializerDtypeCompression.onnx,36364,14584,-21780,35291,13815,-21476,12,12,4,7260
task027,outputs\onnx\task027.onnx,outputs\candidates\dtype_ablation_round2\task027_InitializerDtypeCompression.onnx,36154,14554,-21600,31135,9691,-21444,13,13,2,7200
task009,outputs\onnx\task009.onnx,outputs\candidates\dtype_ablation_round2\task009_InitializerDtypeCompression.onnx,33147,7711,-25436,30956,5753,-25203,6,6,4,3836
task058,outputs\onnx\task058.onnx,outputs\candidates\dtype_ablation_round2\task058_InitializerDtypeCompression.onnx,32257,13057,-19200,27439,8311,-19128,11,11,1,6400
task277,outputs\onnx\task277.onnx,outputs\candidates\dtype_ablation_round2\task277_InitializerDtypeCompression.onnx,29850,25131,-4719,57052,53433,-3619,39,39,9,1573
task319,outputs\onnx\task319.onnx,outputs\candidates\dtype_ablation_round2\task319_InitializerDtypeCompression.onnx,26814,26094,-720,169127,168608,-519,714,714,3,160
