task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,shrunk_initializers,bytes_saved,failure_reason
task001,outputs\onnx\task001.onnx,outputs\candidates\int64_to_int32_shrink\task001_Int64ToInt32Shrink.onnx,172,172,0,1433,1433,0,0,0,no shrinkable initializers found
task002,outputs\onnx\task002.onnx,outputs\candidates\int64_to_int32_shrink\task002_Int64ToInt32Shrink.onnx,1965,1965,0,15506,15506,0,0,0,no shrinkable initializers found
task003,outputs\onnx\task003.onnx,outputs\candidates\int64_to_int32_shrink\task003_Int64ToInt32Shrink.onnx,74,74,0,4167,4167,0,0,0,no shrinkable initializers found
task004,outputs\onnx\task004.onnx,outputs\candidates\int64_to_int32_shrink\task004_Int64ToInt32Shrink.onnx,3060,3060,0,2522,2522,0,0,0,no shrinkable initializers found
task005,outputs\onnx\task005.onnx,outputs\candidates\int64_to_int32_shrink\task005_Int64ToInt32Shrink.onnx,1044,1044,0,10910,10910,0,0,0,no shrinkable initializers found
task006,outputs\onnx\task006.onnx,outputs\candidates\int64_to_int32_shrink\task006_Int64ToInt32Shrink.onnx,339,339,0,1364,1364,0,0,0,no shrinkable initializers found
task007,outputs\onnx\task007.onnx,outputs\candidates\int64_to_int32_shrink\task007_Int64ToInt32Shrink.onnx,271,271,0,1603,1603,0,0,0,no shrinkable initializers found
task008,outputs\onnx\task008.onnx,outputs\candidates\int64_to_int32_shrink\task008_Int64ToInt32Shrink.onnx,382,382,0,7667,7667,0,0,0,no shrinkable initializers found
task009,outputs\onnx\task009.onnx,outputs\candidates\int64_to_int32_shrink\task009_Int64ToInt32Shrink.onnx,33147,33147,0,30956,30956,0,0,0,no shrinkable initializers found
task010,outputs\onnx\task010.onnx,outputs\candidates\int64_to_int32_shrink\task010_Int64ToInt32Shrink.onnx,521,521,0,6061,6061,0,0,0,no shrinkable initializers found
task011,outputs\onnx\task011.onnx,outputs\candidates\int64_to_int32_shrink\task011_Int64ToInt32Shrink.onnx,7065,7065,0,10170,10170,0,0,0,no shrinkable initializers found
