task_id,lane,candidate_model_path,base_entry_replaced,source_entry_sha256,candidate_sha256,candidate_valid,failure_reason
task285,overrides,outputs\candidates\current_6352_53_noop_node_prune\task285_overrides_NoopNodePruned.onnx,overrides/task285.onnx,8942b018a3e57a45c2a1dc79c8380fd23d1b7680ef342728ee0d3b82b2458179,119202403d97e9358245fa9de2d861e7b8f9cbe2dce4198bd7af43fca13e177e,True,
task005,overrides,outputs\candidates\current_6352_53_noop_node_prune\task005_overrides_NoopNodePruned.onnx,overrides/task005.onnx,0d09083633782856e574d8fd446bff27ae8d5b804a0d3aa8cac30af2445ff9ab,9cd93d0634af03709d1b329a1f99d96e86ec1ad2b62ed329687b37827e6072dd,True,
task173,overrides,outputs\candidates\current_6352_53_noop_node_prune\task173_overrides_NoopNodePruned.onnx,overrides/task173.onnx,7490408c9bdc9bbfb7691c4b979c209664b6c929eccd512100909d8dad855d20,f62b53153e4a9b70922db8e8323b60d96c147ab76f4bb71aec5aaa10323adc61,True,
task077,overrides,outputs\candidates\current_6352_53_noop_node_prune\task077_overrides_NoopNodePruned.onnx,overrides/task077.onnx,5f9417526c477277340ca2f477b0e78a8a8e61cbb669ff0310160ba58264a4c0,b3b4406f9c46c7386e9b041d495f126fae4bd07393a1207276b2b695835bb2c4,True,
task054,overrides,outputs\candidates\current_6352_53_noop_node_prune\task054_overrides_NoopNodePruned.onnx,overrides/task054.onnx,44b12ffcdd7e16095d0d7db91c56fd31b00460f7fb87ed92fa5d53a493516117,2307d92cf4595afedb07e3ed6feae77a38ca2a3ed2db475f667725904a22bd34,True,
task101,overrides,outputs\candidates\current_6352_53_noop_node_prune\task101_overrides_NoopNodePruned.onnx,overrides/task101.onnx,84bde03a20c51f388b799ff12f6a8c5c379a1b40c56f7951dd98f53832925ebf,39319c846d3463acec0e97d6bc262732f6310a9d16e792d671685fd1f6f7958a,True,
task370,overrides,outputs\candidates\current_6352_53_noop_node_prune\task370_overrides_NoopNodePruned.onnx,overrides/task370.onnx,60c4513cfdf0bf37ef0703c2cb4dcdcb792e164c15c23d395578693e4d087f07,90da6fc26dbca784e9472f62355b903e3334d0973292b270580e40a6dc43b665,True,
task018,overrides,outputs\candidates\current_6352_53_noop_node_prune\task018_overrides_NoopNodePruned.onnx,overrides/task018.onnx,31a9b722f5b966fe361d22487e2f3b1d32b65ac1a464e12288ce786a18054699,dc186d27fcbd50f964704acf4bf6f7a31b74f5c348177b852d098a3e8388a7fd,True,
task034,overrides,outputs\candidates\current_6352_53_noop_node_prune\task034_overrides_NoopNodePruned.onnx,overrides/task034.onnx,b7eec9f402df77f7a9f3bc19e61bca9ef7155df6388f8be90de562321704834f,584de65127fc45f8705332c2aaae1a03eee90aaa438d87b20085f392cc528505,True,
task185,overrides,outputs\candidates\current_6352_53_noop_node_prune\task185_overrides_NoopNodePruned.onnx,overrides/task185.onnx,2e0df626f59ab1f02f750c6dcb9244bfe7c890519f15ae3a048758f3a0a704ab,4fe2e70746c4a6253ccab0b628dec5ab7ca2f02bf4671b90dd286dabff7d5f94,True,
task174,overrides,outputs\candidates\current_6352_53_noop_node_prune\task174_overrides_NoopNodePruned.onnx,overrides/task174.onnx,ec676714681c86b2fb7b076ee90623663e450044163e777270335d63b982ca2d,41513c098cb62d45d84d474c0558b5c348a1eb60fc68246c4a5b749d0dd88e21,True,
task076,overrides,outputs\candidates\current_6352_53_noop_node_prune\task076_overrides_NoopNodePruned.onnx,overrides/task076.onnx,8eb9d40ec8716ac5aae8e73e16e980f259acdfe9eb41565679b0d411e71dd27e,3fb1cc27562879729f0ce7a8f03b6e08b40a160fb82e3b47312ad51142a4fb27,True,
task071,overrides,outputs\candidates\current_6352_53_noop_node_prune\task071_overrides_NoopNodePruned.onnx,overrides/task071.onnx,8602ccb995cf7837f679be327fc93d531b7c3372472817848fa152e403c20278,e094a3c74cd6597f8b12b9ac38c83bea892e82f36943e72d4ecfe379a7a62ef3,True,
task013,overrides,outputs\candidates\current_6352_53_noop_node_prune\task013_overrides_NoopNodePruned.onnx,overrides/task013.onnx,a79b409fbe203c21990f3458a43c568ae7012487dcf8e5020fcd3a5f81eeeb99,0b655e1e260a8b7696af232fdb45e6bd31fa635338e418ce0eb33647ea8007b9,True,
task198,overrides,outputs\candidates\current_6352_53_noop_node_prune\task198_overrides_NoopNodePruned.onnx,overrides/task198.onnx,78ffc2e044f8b3dc1f0ec506acd123c57b53c55f8e4fb6ecb598da33df837d86,987f4df51300f4179128007cba1afd4b5b842c7bebc8b01676b04b22562d4614,True,
task191,overrides,outputs\candidates\current_6352_53_noop_node_prune\task191_overrides_NoopNodePruned.onnx,overrides/task191.onnx,8b7d5140c999892a8243e7720a4a8d3ecbb29b56ad5f10d7b6383749bc93148c,ca2ceef132418bb93755b050c39ec0366db7ded63bde0b435a3f8a733782f9c6,True,
