candidate_name,task_id,family,rewrite_type,local_cost_delta,online_score,online_delta,decision,reason
task076_Task076PermGatherExact,task076,L,one_hot_perm_to_gather,-900000,6037.68,+,promote,dense 8x169x169 one-hot perm table replaced by 8x169 int64 index + 3 Gather nodes
task396_RowBankPrefixConservative,task396,L,row_bank_prefix_prune,-20000,6037.90,0,promote,pruned unused row-bank rows; flat online = safe to keep
task290_RowBankPrefixConservative,task290,L,row_bank_prefix_prune,-15000,6037.90,0,promote,pruned unused row-bank rows; flat online = safe to keep
task209_PriorRangeObserved,task209,L,prior_range_prune,-27702,6037.90,0,promote,pruned unused prior range; flat online = safe to keep
task157_PlacementConservative,task157,L,enumeration_table_prune,-200000,6037.89,0,promote,pruned unreachable placement rows; flat online = safe to keep
task025_DynamicLineProjectionRule,task025,D,geometric_rule_builder,-330000,6037.90,+,promote,simple geometric rule (line projection via complete-line detection); positive online
task084_DiagonalBottomFillRule,task084,D,geometric_rule_builder,-1390000,6037.90,+,promote,simple geometric rule (diagonal + bottom fill); positive online
task200_BottomMarkerVerticalStripeRule,task200,D,geometric_rule_builder,-989000,6037.90,+,promote,simple geometric rule (marker→vertical stripe); positive online
task076_semantic_template,task076,K,semantic_template_matcher,-800000,6027.22,-,reject,task-specific semantic finite-template: local labelled all passed but online regressed
task363_SparseShiftConvRewrite,task363,L,conv_to_pad_slice_concat,-176810,6037.81,-,reject,Conv->Pad/Slice/Concat expansion: local equivalent but online regressed; Slice/Concat expansion unreliable
task367_DynamicRectangularCavityFillRule,task367,E,semantic_cavity_fill,-219000,6028.06,-,reject,rectangular cavity semantic fill: local passed but online negative
task396_DynamicLargestFrameRecolorCropRule,task396,L,semantic_frame_crop,-100000,6027.99,-,reject,largest-frame semantic recolor-crop: local passed but online negative
task233_combined_dtype_compress,task233,L,dtype_compression,-250000,6037.50,-,reject,16 int64→int32 Gather-index compressions; local 266/266 labelled passed but online -0.40; dtype changes affect runtime scoring
batch_30_dtype_and_repromote,batch,mixed,batch_mixed,-2000000,6028,-,reject,batch of 30 candidates (re-promotes + dtype compression); massive regression due to mixed risk profiles
same_score_zero_initializer_merge_corrected_20260612,batch,mixed,zero_initializer_same_score_merge,-13520,6275.08,-0.01,reject,17 zero-initializer candidates that individually displayed as ties regressed when merged against the 6275.09 baseline
neurogolf_6348_56_hybrid_stack,batch,external_hybrid_stack,known_online_submission_take_best,,6348.56,+73.47 vs 6275.09,promote,newly imported hybrid stack submission beats the 6275.09 reference; use known online score rather than local cost for promotion
ref6348_equiv_optimized_lane_35_individual_flat_20260613,batch,external_hybrid_stack,graph_equivalent_dead_dedup_lane_ablation,-1531410,6348.56,0 on all uploaded one-lane ablations,promote,user reported every uploaded strict-valid one-task/one-lane equivalent optimization scored 6348.56; merged package still needs separate online confirmation
ref6348_equiv_optimized_merged_20260613,batch,external_hybrid_stack,graph_equivalent_dead_dedup_merged,-1531410,6348.56,0,promote,user reported the merged 35-lane equivalent package also scored 6348.56; graph-equivalent base-lane cleanup did not move official best-lane score
task101_task255_algorithm_pruned_merged_20260613,task101+task255,official_static_algorithm_prune,override_algorithm_branch_prune,-155195,6349.16,+0.60 vs 6348.56,promote,merged task101 template-radius R02 pruning and task255 shape-family pruning; user reported online score improved to 6349.16
