rule_name,scanned_tasks,matched_count,matched_tasks,exception_count
GeneralizedPanelRule,347,0,,0
PanelSeparatorBinaryOpRule,347,0,,0
PanelSelectByColorRule,347,0,,0
PeriodicExtensionColorMapRule,347,0,,0
HoleFillRule,347,0,,0
LocalNeighborhoodFillRule,347,0,,0
SubstructureExtractRule,347,0,,0
TileFromBBoxRepeatRule,347,0,,0
MultiStepTranslationRule,347,0,,0
SymmetryCompletionRule,347,0,,0
RectangleAndLineRule,347,0,,0
ObjectSelectionRule,347,0,,0
LocalNeighborhoodRewriteRule,347,0,,0
PanelSemanticRule,347,0,,0
DynamicQuadrantPanelSelectRule,347,0,,0
DynamicBBoxCropRule,347,2,task036 task174,0
FrameInteriorRule,347,2,task036 task079,0
ObjectEditRule,347,0,,0
ComposedRuleSearch,347,2,task036 task174,0
