task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task001,outputs\reference_6275_flat\task001.onnx,outputs\candidates\ref6275_deduplicated\task001_DeduplicateInitializers.onnx,150,150,0,1082,1082,0,4,4,0,0
task002,outputs\reference_6275_flat\task002.onnx,outputs\candidates\ref6275_deduplicated\task002_DeduplicateInitializers.onnx,765,765,0,14560,14560,0,31,31,0,0
task003,outputs\reference_6275_flat\task003.onnx,outputs\candidates\ref6275_deduplicated\task003_DeduplicateInitializers.onnx,138,138,0,5000,5000,0,12,12,0,0
task004,outputs\reference_6275_flat\task004.onnx,outputs\candidates\ref6275_deduplicated\task004_DeduplicateInitializers.onnx,3060,3060,0,2522,2522,0,4,4,0,0
task005,outputs\reference_6275_flat\task005.onnx,outputs\candidates\ref6275_deduplicated\task005_DeduplicateInitializers.onnx,1044,1044,0,10910,10910,0,19,19,0,0
task006,outputs\reference_6275_flat\task006.onnx,outputs\candidates\ref6275_deduplicated\task006_DeduplicateInitializers.onnx,297,297,0,1124,1124,0,10,10,0,0
task007,outputs\reference_6275_flat\task007.onnx,outputs\candidates\ref6275_deduplicated\task007_DeduplicateInitializers.onnx,267,267,0,1258,1258,0,13,13,0,0
task008,outputs\reference_6275_flat\task008.onnx,outputs\candidates\ref6275_deduplicated\task008_DeduplicateInitializers.onnx,377,377,0,7647,7647,0,20,20,0,0
task009,outputs\reference_6275_flat\task009.onnx,outputs\candidates\ref6275_deduplicated\task009_DeduplicateInitializers.onnx,33147,33147,0,30956,30956,0,6,6,0,0
task010,outputs\reference_6275_flat\task010.onnx,outputs\candidates\ref6275_deduplicated\task010_DeduplicateInitializers.onnx,432,432,0,6176,6176,0,25,25,0,0
task011,outputs\reference_6275_flat\task011.onnx,outputs\candidates\ref6275_deduplicated\task011_DeduplicateInitializers.onnx,7065,7065,0,10170,10170,0,22,22,0,0
task012,outputs\reference_6275_flat\task012.onnx,outputs\candidates\ref6275_deduplicated\task012_DeduplicateInitializers.onnx,596,596,0,1906,1906,0,14,14,0,0
task013,outputs\reference_6275_flat\task013.onnx,outputs\candidates\ref6275_deduplicated\task013_DeduplicateInitializers.onnx,6795,6795,0,18384,18384,0,16,16,0,0
