task_id,selected_by,replacement_model_path,candidate_zip_path,upload_submission_path,archive_estimated_cost,current_estimated_cost,cost_delta_archive_minus_current,base_entry_size_bytes,replacement_file_size_bytes,base_sha256,replacement_sha256,candidate_valid,failure_reason
task003,selected-current,outputs\onnx\task003.onnx,outputs\ablation_submissions\ref6275_local_single_task_20260611\task003_LocalOverReference.zip,outputs\ablation_submissions\ref6275_local_single_task_20260611\task003_LocalOverReference\submission.zip,138,74,64,5000,4167,a41ad7e3efe23c97497862dd91ea554f505de1047f4dd0eda52d917136dde6c3,f7b1e9c321fcb23c216feb2476ddc69b220eb381e49e0edca3208bd9a8373693,True,
task004,selected-current,outputs\onnx\task004.onnx,,,3060,3060,0,2522,2522,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,False,skipped_identical_to_base
task005,selected-current,outputs\onnx\task005.onnx,outputs\ablation_submissions\ref6275_local_single_task_20260611\task005_LocalOverReference.zip,outputs\ablation_submissions\ref6275_local_single_task_20260611\task005_LocalOverReference\submission.zip,1044,1044,0,10910,10910,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,dd5681549124eb6d60c83f24b1bd80499fef4bcd62156e5b133ee6069e17f92e,True,
task009,selected-current,outputs\onnx\task009.onnx,,,33147,33147,0,30956,30956,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,False,skipped_identical_to_base
task011,selected-current,outputs\onnx\task011.onnx,,,7065,7065,0,10170,10170,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,False,skipped_identical_to_base
task012,selected-current,outputs\onnx\task012.onnx,outputs\ablation_submissions\ref6275_local_single_task_20260611\task012_LocalOverReference.zip,outputs\ablation_submissions\ref6275_local_single_task_20260611\task012_LocalOverReference\submission.zip,596,587,9,1906,1948,df320d75ab6b4ecabfe62ab2fba6c963a9060bd9c5703fcede7dc2ff460629bc,35326b3a2dcb8e024ed7dbf141f6b861694663c1339546fd0adb3ad8e2ff5e77,True,
task013,selected-current,outputs\onnx\task013.onnx,,,6795,6795,0,18384,18384,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,False,skipped_identical_to_base
task014,selected-current,outputs\onnx\task014.onnx,outputs\ablation_submissions\ref6275_local_single_task_20260611\task014_LocalOverReference.zip,outputs\ablation_submissions\ref6275_local_single_task_20260611\task014_LocalOverReference\submission.zip,3375,0,3375,5317,14357,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,d81dcec7f3d336ac99f0d2ab79de21ef8ec5cac2d6d4e1d007e4a3621d5601f1,True,
task016,selected-current,outputs\onnx\task016.onnx,,,90,90,0,158,158,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,False,skipped_identical_to_base
task022,selected-current,outputs\onnx\task022.onnx,outputs\ablation_submissions\ref6275_local_single_task_20260611\task022_LocalOverReference.zip,outputs\ablation_submissions\ref6275_local_single_task_20260611\task022_LocalOverReference\submission.zip,1061,531,530,5021,43895,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,fbbcf7777e1f706b0899071564e37bdb5c8b7d7908efc4f47c971a3953e03d07,True,
