"task_id","upload_submission_path","online_score","delta_vs_6275_09","decision"
"task255","outputs\ablation_submissions\ref6275_local_single_task_20260611\task255_LocalOverReference\submission.zip","","",""
"task240","outputs\ablation_submissions\ref6275_local_single_task_20260611\task240_LocalOverReference\submission.zip","","",""
"task349","outputs\ablation_submissions\ref6275_local_single_task_20260611\task349_LocalOverReference\submission.zip","","",""
"task248","outputs\ablation_submissions\ref6275_local_single_task_20260611\task248_LocalOverReference\submission.zip","","",""
"task205","outputs\ablation_submissions\ref6275_local_single_task_20260611\task205_LocalOverReference\submission.zip","","",""
"task364","outputs\ablation_submissions\ref6275_local_single_task_20260611\task364_LocalOverReference\submission.zip","","",""
"task151","outputs\ablation_submissions\ref6275_local_single_task_20260611\task151_LocalOverReference\submission.zip","","",""
"task279","outputs\ablation_submissions\ref6275_local_single_task_20260611\task279_LocalOverReference\submission.zip","","",""
"task014","outputs\ablation_submissions\ref6275_local_single_task_20260611\task014_LocalOverReference\submission.zip","","",""
"task264","outputs\ablation_submissions\ref6275_local_single_task_20260611\task264_LocalOverReference\submission.zip","","",""
"task338","outputs\ablation_submissions\ref6275_local_single_task_20260611\task338_LocalOverReference\submission.zip","","",""
"task191","outputs\ablation_submissions\ref6275_local_single_task_20260611\task191_LocalOverReference\submission.zip","","",""
"task156","outputs\ablation_submissions\ref6275_local_single_task_20260611\task156_LocalOverReference\submission.zip","","",""
"task280","outputs\ablation_submissions\ref6275_local_single_task_20260611\task280_LocalOverReference\submission.zip","","",""
"task270","outputs\ablation_submissions\ref6275_local_single_task_20260611\task270_LocalOverReference\submission.zip","","",""
"task345","outputs\ablation_submissions\ref6275_local_single_task_20260611\task345_LocalOverReference\submission.zip","","",""
"task323","outputs\ablation_submissions\ref6275_local_single_task_20260611\task323_LocalOverReference\submission.zip","","",""
"task066","outputs\ablation_submissions\ref6275_local_single_task_20260611\task066_LocalOverReference\submission.zip","","",""
"task371","outputs\ablation_submissions\ref6275_local_single_task_20260611\task371_LocalOverReference\submission.zip","","",""
"task243","outputs\ablation_submissions\ref6275_local_single_task_20260611\task243_LocalOverReference\submission.zip","","",""
"task102","outputs\ablation_submissions\ref6275_local_single_task_20260611\task102_LocalOverReference\submission.zip","","",""
"task182","outputs\ablation_submissions\ref6275_local_single_task_20260611\task182_LocalOverReference\submission.zip","","",""
"task316","outputs\ablation_submissions\ref6275_local_single_task_20260611\task316_LocalOverReference\submission.zip","","",""
"task022","outputs\ablation_submissions\ref6275_local_single_task_20260611\task022_LocalOverReference\submission.zip","","",""
"task204","outputs\ablation_submissions\ref6275_local_single_task_20260611\task204_LocalOverReference\submission.zip","","",""
"task213","outputs\ablation_submissions\ref6275_local_single_task_20260611\task213_LocalOverReference\submission.zip","","",""
"task149","outputs\ablation_submissions\ref6275_local_single_task_20260611\task149_LocalOverReference\submission.zip","","",""
"task376","outputs\ablation_submissions\ref6275_local_single_task_20260611\task376_LocalOverReference\submission.zip","","",""
