"task_id","cost_delta_archive_minus_current","archive_estimated_cost","current_estimated_cost","upload_submission_path"
"task255","313679","372359","58680","outputs\ablation_submissions\ref6275_local_single_task_20260611\task255_LocalOverReference\submission.zip"
"task240","78185","78767","582","outputs\ablation_submissions\ref6275_local_single_task_20260611\task240_LocalOverReference\submission.zip"
"task349","9663","9921","258","outputs\ablation_submissions\ref6275_local_single_task_20260611\task349_LocalOverReference\submission.zip"
"task248","8830","9100","270","outputs\ablation_submissions\ref6275_local_single_task_20260611\task248_LocalOverReference\submission.zip"
"task205","4352","5466","1114","outputs\ablation_submissions\ref6275_local_single_task_20260611\task205_LocalOverReference\submission.zip"
"task364","4025","5120","1095","outputs\ablation_submissions\ref6275_local_single_task_20260611\task364_LocalOverReference\submission.zip"
"task151","4025","4550","525","outputs\ablation_submissions\ref6275_local_single_task_20260611\task151_LocalOverReference\submission.zip"
"task279","3761","5271","1510","outputs\ablation_submissions\ref6275_local_single_task_20260611\task279_LocalOverReference\submission.zip"
"task014","3375","3375","0","outputs\ablation_submissions\ref6275_local_single_task_20260611\task014_LocalOverReference\submission.zip"
"task264","3336","6570","3234","outputs\ablation_submissions\ref6275_local_single_task_20260611\task264_LocalOverReference\submission.zip"
"task338","3091","6426","3335","outputs\ablation_submissions\ref6275_local_single_task_20260611\task338_LocalOverReference\submission.zip"
"task191","3058","3831","773","outputs\ablation_submissions\ref6275_local_single_task_20260611\task191_LocalOverReference\submission.zip"
"task156","2909","5888","2979","outputs\ablation_submissions\ref6275_local_single_task_20260611\task156_LocalOverReference\submission.zip"
"task280","2466","2862","396","outputs\ablation_submissions\ref6275_local_single_task_20260611\task280_LocalOverReference\submission.zip"
"task270","1697","4357","2660","outputs\ablation_submissions\ref6275_local_single_task_20260611\task270_LocalOverReference\submission.zip"
"task345","1157","5898","4741","outputs\ablation_submissions\ref6275_local_single_task_20260611\task345_LocalOverReference\submission.zip"
"task323","856","2055","1199","outputs\ablation_submissions\ref6275_local_single_task_20260611\task323_LocalOverReference\submission.zip"
"task066","806","1236","430","outputs\ablation_submissions\ref6275_local_single_task_20260611\task066_LocalOverReference\submission.zip"
"task371","776","1333","557","outputs\ablation_submissions\ref6275_local_single_task_20260611\task371_LocalOverReference\submission.zip"
"task243","752","906","154","outputs\ablation_submissions\ref6275_local_single_task_20260611\task243_LocalOverReference\submission.zip"
"task102","672","1809","1137","outputs\ablation_submissions\ref6275_local_single_task_20260611\task102_LocalOverReference\submission.zip"
"task182","644","3574","2930","outputs\ablation_submissions\ref6275_local_single_task_20260611\task182_LocalOverReference\submission.zip"
"task316","590","866","276","outputs\ablation_submissions\ref6275_local_single_task_20260611\task316_LocalOverReference\submission.zip"
"task022","530","1061","531","outputs\ablation_submissions\ref6275_local_single_task_20260611\task022_LocalOverReference\submission.zip"
"task204","361","3563","3202","outputs\ablation_submissions\ref6275_local_single_task_20260611\task204_LocalOverReference\submission.zip"
"task213","300","960","660","outputs\ablation_submissions\ref6275_local_single_task_20260611\task213_LocalOverReference\submission.zip"
