"rank","task_id","cost_delta_archive_minus_current","archive_estimated_cost","current_estimated_cost","upload_submission_path","verification_note","recommendation"
"1","task255","313679","372359","58680","outputs\ablation_submissions\ref6275_local_single_task_20260611\task255_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"2","task240","78185","78767","582","outputs\ablation_submissions\ref6275_local_single_task_20260611\task240_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"3","task184","48100","48350","250","outputs\ablation_submissions\ref6275_local_single_task_20260611\task184_LocalOverReference\submission.zip","zip_structural_ok; evaluate_exits_1_without_output; defer_until_diagnosed","defer"
"4","task349","9663","9921","258","outputs\ablation_submissions\ref6275_local_single_task_20260611\task349_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"5","task248","8830","9100","270","outputs\ablation_submissions\ref6275_local_single_task_20260611\task248_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"6","task205","4352","5466","1114","outputs\ablation_submissions\ref6275_local_single_task_20260611\task205_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"7","task151","4025","4550","525","outputs\ablation_submissions\ref6275_local_single_task_20260611\task151_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"8","task364","4025","5120","1095","outputs\ablation_submissions\ref6275_local_single_task_20260611\task364_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"9","task279","3761","5271","1510","outputs\ablation_submissions\ref6275_local_single_task_20260611\task279_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"10","task014","3375","3375","0","outputs\ablation_submissions\ref6275_local_single_task_20260611\task014_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"11","task264","3336","6570","3234","outputs\ablation_submissions\ref6275_local_single_task_20260611\task264_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"12","task338","3091","6426","3335","outputs\ablation_submissions\ref6275_local_single_task_20260611\task338_LocalOverReference\submission.zip","evaluate_ok; zip_structural_ok","submit_one_task_ablation"
"13","task191","3058","3831","773","outputs\ablation_submissions\ref6275_local_single_task_20260611\task191_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"14","task156","2909","5888","2979","outputs\ablation_submissions\ref6275_local_single_task_20260611\task156_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"15","task280","2466","2862","396","outputs\ablation_submissions\ref6275_local_single_task_20260611\task280_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"16","task270","1697","4357","2660","outputs\ablation_submissions\ref6275_local_single_task_20260611\task270_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"17","task042","1557","2445","888","outputs\ablation_submissions\ref6275_local_single_task_20260611\task042_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"18","task345","1157","5898","4741","outputs\ablation_submissions\ref6275_local_single_task_20260611\task345_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"19","task323","856","2055","1199","outputs\ablation_submissions\ref6275_local_single_task_20260611\task323_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"20","task066","806","1236","430","outputs\ablation_submissions\ref6275_local_single_task_20260611\task066_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"21","task371","776","1333","557","outputs\ablation_submissions\ref6275_local_single_task_20260611\task371_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"22","task243","752","906","154","outputs\ablation_submissions\ref6275_local_single_task_20260611\task243_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"23","task102","672","1809","1137","outputs\ablation_submissions\ref6275_local_single_task_20260611\task102_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"24","task182","644","3574","2930","outputs\ablation_submissions\ref6275_local_single_task_20260611\task182_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"25","task316","590","866","276","outputs\ablation_submissions\ref6275_local_single_task_20260611\task316_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"26","task022","530","1061","531","outputs\ablation_submissions\ref6275_local_single_task_20260611\task022_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"27","task204","361","3563","3202","outputs\ablation_submissions\ref6275_local_single_task_20260611\task204_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"28","task213","300","960","660","outputs\ablation_submissions\ref6275_local_single_task_20260611\task213_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"29","task149","223","455","232","outputs\ablation_submissions\ref6275_local_single_task_20260611\task149_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"30","task376","193","536","343","outputs\ablation_submissions\ref6275_local_single_task_20260611\task376_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"31","task023","187","303","116","outputs\ablation_submissions\ref6275_local_single_task_20260611\task023_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"32","task192","109","436","327","outputs\ablation_submissions\ref6275_local_single_task_20260611\task192_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"33","task057","74","173","99","outputs\ablation_submissions\ref6275_local_single_task_20260611\task057_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"34","task242","74","398","324","outputs\ablation_submissions\ref6275_local_single_task_20260611\task242_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"35","task092","73","163","90","outputs\ablation_submissions\ref6275_local_single_task_20260611\task092_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"36","task003","64","138","74","outputs\ablation_submissions\ref6275_local_single_task_20260611\task003_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"37","task012","9","596","587","outputs\ablation_submissions\ref6275_local_single_task_20260611\task012_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"38","task297","5","369","364","outputs\ablation_submissions\ref6275_local_single_task_20260611\task297_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
"39","task173","2","753","751","outputs\ablation_submissions\ref6275_local_single_task_20260611\task173_LocalOverReference\submission.zip","not_rechecked_this_round","backlog"
