"upload_rank","task_id","cost_delta_archive_minus_current","upload_submission_path","online_score","delta_vs_6275_09","decision","notes"
"1","task255","313679","outputs\ablation_submissions\ref6275_local_single_task_20260611\task255_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"2","task240","78185","outputs\ablation_submissions\ref6275_local_single_task_20260611\task240_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"3","task349","9663","outputs\ablation_submissions\ref6275_local_single_task_20260611\task349_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"4","task248","8830","outputs\ablation_submissions\ref6275_local_single_task_20260611\task248_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"5","task205","4352","outputs\ablation_submissions\ref6275_local_single_task_20260611\task205_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"6","task151","4025","outputs\ablation_submissions\ref6275_local_single_task_20260611\task151_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"7","task364","4025","outputs\ablation_submissions\ref6275_local_single_task_20260611\task364_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"8","task279","3761","outputs\ablation_submissions\ref6275_local_single_task_20260611\task279_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"9","task014","3375","outputs\ablation_submissions\ref6275_local_single_task_20260611\task014_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
"10","task264","3336","outputs\ablation_submissions\ref6275_local_single_task_20260611\task264_LocalOverReference\submission.zip","","","","evaluate_ok; zip_structural_ok"
