task_id,model_cost,init_name,shape,dtype,num_elements,nbytes,init_class,is_permutation,is_row_bank,is_interval_table,is_mask_bank,is_template_bank,is_transform_bank,is_one_hot,one_hot_ratio,num_unique,value_range,sparsity,consumer_ops,downstream_chain,can_be_gather,can_be_formula,can_be_small_conv,decompilation_notes
task255,372359,score_static,325x325,float16,105625,211250,unknown,False,False,False,False,False,False,False,0.0,141,"[12032.0,60896.0]",0.0,Where,Where→ReduceMax→Gather→ArgMax→ArgMax→Gather→Gather→Gather→Gather→Gather,False,False,False,
task184,48350,out_zero,1x10x30x30,float32,9000,36000,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,ScatterND,ScatterND,True,False,False,
task240,78767,base_bg,1x10x30x30,float32,9000,36000,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9599,ScatterND,ScatterND,False,False,False,
task009,33147,v0,900x4,int64,3600,28800,row_bank_lookup,False,True,False,False,False,False,False,0.0,16,"[0,27]",0.3,GatherND,GatherND→Reshape→MatMul→MatMul→Transpose→Greater→Greater→MatMul→MatMul,False,False,False,
task240,78767,scatter_idx,810x4,int64,3240,25920,row_bank_lookup,False,True,False,False,False,False,False,0.0,14,"[0,17]",0.275,ScatterND,ScatterND,False,False,False,
task099,24550,W,10x10x7x7,float32,4900,19600,unknown,False,False,False,False,False,False,False,0.0,4900,"[-4.686532974243164,9.0111665725708]",0.0,Conv,Conv,False,False,False,
task061,17726,label_bank,6x18x18,int64,1944,15552,small_int_table,False,False,False,True,False,False,False,0.0,9,"[1,9]",0.0,Gather,Gather→OneHot→Pad,False,False,False,
task255,372359,R,435x30,uint8,13050,13050,interval_grid,False,False,True,False,False,False,False,0.0,2,"[0,1]",0.6222,QLinearMatMul,QLinearMatMul→QLinearMatMul→Equal→Cast→Slice,False,True,False,
task255,372359,C,30x435,uint8,13050,13050,interval_grid,False,False,True,False,False,False,False,0.0,2,"[0,1]",0.6222,QLinearMatMul,QLinearMatMul→Equal→Cast→Slice→Where→QLinearMatMul→QLinearMatMul→QLinearMatMul→QLinearMatMul,False,True,False,
task058,19415,table_f,16x1x20x20,float16,6400,12800,dense_binary_bank,False,False,False,True,False,False,False,0.05,2,"[0.0,1.0]",0.7475,Gather,Gather→Greater→And→Not→Concat,False,False,False,
task122,12550,W,10x10x5x5,float32,2500,10000,unknown,False,False,False,False,False,False,False,0.0,2500,"[-12.675426483154297,12.571468353271484]",0.0,Conv,Conv,False,False,False,
task344,12550,W,10x10x5x5,float32,2500,10000,unknown,False,False,False,False,False,False,False,0.0,2500,"[-9.133241653442383,11.960057258605957]",0.0,Conv,Conv,False,False,False,
