task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task001,outputs\reference_6275_flat\task001.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task001_ZeroAddRemoved.onnx,150,150,0,1082,1082,0,0,0,no zero-add patterns found
task002,outputs\reference_6275_flat\task002.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task002_ZeroAddRemoved.onnx,765,765,0,14560,14560,0,0,0,no zero-add patterns found
task003,outputs\reference_6275_flat\task003.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task003_ZeroAddRemoved.onnx,138,138,0,5000,5000,0,0,0,no zero-add patterns found
task004,outputs\reference_6275_flat\task004.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task004_ZeroAddRemoved.onnx,3060,3060,0,2522,2522,0,0,0,no zero-add patterns found
task005,outputs\reference_6275_flat\task005.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task005_ZeroAddRemoved.onnx,1044,1044,0,10910,10910,0,0,0,no zero-add patterns found
task006,outputs\reference_6275_flat\task006.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task006_ZeroAddRemoved.onnx,297,297,0,1124,1124,0,0,0,no zero-add patterns found
task007,outputs\reference_6275_flat\task007.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task007_ZeroAddRemoved.onnx,267,267,0,1258,1258,0,0,0,no zero-add patterns found
task008,outputs\reference_6275_flat\task008.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task008_ZeroAddRemoved.onnx,377,377,0,7647,7647,0,0,0,no zero-add patterns found
task009,outputs\reference_6275_flat\task009.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task009_ZeroAddRemoved.onnx,33147,33147,0,30956,30956,0,0,0,no zero-add patterns found
task010,outputs\reference_6275_flat\task010.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task010_ZeroAddRemoved.onnx,432,432,0,6176,6176,0,0,0,no zero-add patterns found
task011,outputs\reference_6275_flat\task011.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task011_ZeroAddRemoved.onnx,7065,7065,0,10170,10170,0,0,0,no zero-add patterns found
task012,outputs\reference_6275_flat\task012.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task012_ZeroAddRemoved.onnx,596,596,0,1906,1906,0,0,0,no zero-add patterns found
task013,outputs\reference_6275_flat\task013.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task013_ZeroAddRemoved.onnx,6795,6795,0,18384,18384,0,0,0,no zero-add patterns found
task014,outputs\reference_6275_flat\task014.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task014_ZeroAddRemoved.onnx,3375,3375,0,5317,5317,0,0,0,no zero-add patterns found
task015,outputs\reference_6275_flat\task015.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task015_ZeroAddRemoved.onnx,4500,4500,0,3774,3774,0,0,0,no zero-add patterns found
task016,outputs\reference_6275_flat\task016.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task016_ZeroAddRemoved.onnx,90,90,0,158,158,0,0,0,no zero-add patterns found
task017,outputs\reference_6275_flat\task017.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task017_ZeroAddRemoved.onnx,1523,1523,0,5585,5585,0,0,0,no zero-add patterns found
task018,outputs\reference_6275_flat\task018.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task018_ZeroAddRemoved.onnx,3245,3245,0,29350,29350,0,0,0,no zero-add patterns found
task019,outputs\reference_6275_flat\task019.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task019_ZeroAddRemoved.onnx,570,570,0,2566,2566,0,0,0,no zero-add patterns found
task020,outputs\reference_6275_flat\task020.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task020_ZeroAddRemoved.onnx,786,786,0,19672,19672,0,0,0,no zero-add patterns found
task021,outputs\reference_6275_flat\task021.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task021_ZeroAddRemoved.onnx,725,725,0,15197,15197,0,0,0,no zero-add patterns found
task022,outputs\reference_6275_flat\task022.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task022_ZeroAddRemoved.onnx,1061,1061,0,5021,5021,0,0,0,no zero-add patterns found
task023,outputs\reference_6275_flat\task023.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task023_ZeroAddRemoved.onnx,303,303,0,33105,33105,0,0,0,no zero-add patterns found
task024,outputs\reference_6275_flat\task024.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task024_ZeroAddRemoved.onnx,765,765,0,3233,3233,0,0,0,no zero-add patterns found
task025,outputs\reference_6275_flat\task025.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task025_ZeroAddRemoved.onnx,447,447,0,13460,13460,0,0,0,no zero-add patterns found
task026,outputs\reference_6275_flat\task026.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task026_ZeroAddRemoved.onnx,210,210,0,1309,1309,0,0,0,no zero-add patterns found
task027,outputs\reference_6275_flat\task027.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task027_ZeroAddRemoved.onnx,329,329,0,2073,2073,0,0,0,no zero-add patterns found
