task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,zero_initializers_replaced,zero_initializer_elements_replaced
task001,outputs\reference_6275_flat\task001.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task001_ZeroInitializerCompression.onnx,150,150,0,1082,1082,0,4,4,0,0
task002,outputs\reference_6275_flat\task002.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task002_ZeroInitializerCompression.onnx,765,765,0,14560,14560,0,31,31,0,0
task003,outputs\reference_6275_flat\task003.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task003_ZeroInitializerCompression.onnx,138,138,0,5000,5000,0,12,12,0,0
task004,outputs\reference_6275_flat\task004.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task004_ZeroInitializerCompression.onnx,3060,3060,0,2522,2522,0,4,4,0,0
task005,outputs\reference_6275_flat\task005.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task005_ZeroInitializerCompression.onnx,1044,1044,0,10910,10910,0,19,19,0,0
task006,outputs\reference_6275_flat\task006.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task006_ZeroInitializerCompression.onnx,297,297,0,1124,1124,0,10,10,0,0
task007,outputs\reference_6275_flat\task007.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task007_ZeroInitializerCompression.onnx,267,267,0,1258,1258,0,13,13,0,0
task008,outputs\reference_6275_flat\task008.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task008_ZeroInitializerCompression.onnx,377,377,0,7647,7647,0,20,20,0,0
task009,outputs\reference_6275_flat\task009.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task009_ZeroInitializerCompression.onnx,33147,33147,0,30956,30956,0,6,6,0,0
task010,outputs\reference_6275_flat\task010.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task010_ZeroInitializerCompression.onnx,432,432,0,6176,6176,0,25,25,0,0
task011,outputs\reference_6275_flat\task011.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task011_ZeroInitializerCompression.onnx,7065,7065,0,10170,10170,0,22,22,0,0
task012,outputs\reference_6275_flat\task012.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task012_ZeroInitializerCompression.onnx,596,596,0,1906,1906,0,14,14,0,0
task013,outputs\reference_6275_flat\task013.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task013_ZeroInitializerCompression.onnx,6795,6795,0,18384,18384,0,16,16,0,0
task014,outputs\reference_6275_flat\task014.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task014_ZeroInitializerCompression.onnx,3375,3375,0,5317,5317,0,17,17,0,0
task015,outputs\reference_6275_flat\task015.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task015_ZeroInitializerCompression.onnx,4500,4500,0,3774,3774,0,1,1,0,0
task016,outputs\reference_6275_flat\task016.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task016_ZeroInitializerCompression.onnx,90,90,0,158,158,0,1,1,0,0
task017,outputs\reference_6275_flat\task017.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task017_ZeroInitializerCompression.onnx,1523,1523,0,5585,5585,0,27,27,0,0
task018,outputs\reference_6275_flat\task018.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task018_ZeroInitializerCompression.onnx,3245,3245,0,29350,29350,0,32,32,0,0
task019,outputs\reference_6275_flat\task019.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task019_ZeroInitializerCompression.onnx,570,570,0,2566,2566,0,13,13,0,0
task020,outputs\reference_6275_flat\task020.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task020_ZeroInitializerCompression.onnx,786,786,0,19672,19672,0,25,25,0,0
task021,outputs\reference_6275_flat\task021.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task021_ZeroInitializerCompression.onnx,725,725,0,15197,15197,0,20,20,0,0
task022,outputs\reference_6275_flat\task022.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task022_ZeroInitializerCompression.onnx,1061,1061,0,5021,5021,0,25,25,0,0
task023,outputs\reference_6275_flat\task023.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task023_ZeroInitializerCompression.onnx,303,303,0,33105,33105,0,16,16,0,0
task024,outputs\reference_6275_flat\task024.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task024_ZeroInitializerCompression.onnx,765,351,-414,3233,3155,-78,11,11,1,225
task025,outputs\reference_6275_flat\task025.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task025_ZeroInitializerCompression.onnx,447,447,0,13460,13460,0,28,28,0,0
task026,outputs\reference_6275_flat\task026.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task026_ZeroInitializerCompression.onnx,210,210,0,1309,1309,0,8,8,0,0
task027,outputs\reference_6275_flat\task027.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task027_ZeroInitializerCompression.onnx,329,329,0,2073,2073,0,12,12,0,0
task028,outputs\reference_6275_flat\task028.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task028_ZeroInitializerCompression.onnx,857,857,0,2079,2079,0,10,10,0,0
task029,outputs\reference_6275_flat\task029.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task029_ZeroInitializerCompression.onnx,978,978,0,13589,13589,0,15,15,0,0
task030,outputs\reference_6275_flat\task030.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task030_ZeroInitializerCompression.onnx,924,660,-264,7164,7099,-65,19,19,1,100
task031,outputs\reference_6275_flat\task031.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task031_ZeroInitializerCompression.onnx,470,470,0,3417,3417,0,13,13,0,0
task032,outputs\reference_6275_flat\task032.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task032_ZeroInitializerCompression.onnx,409,265,-144,2347,2349,2,10,10,1,36
task033,outputs\reference_6275_flat\task033.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task033_ZeroInitializerCompression.onnx,369,369,0,1510,1510,0,6,6,0,0
task034,outputs\reference_6275_flat\task034.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task034_ZeroInitializerCompression.onnx,7701,5937,-1764,8450,7709,-741,16,16,1,900
task035,outputs\reference_6275_flat\task035.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task035_ZeroInitializerCompression.onnx,455,455,0,3707,3707,0,16,16,0,0
task036,outputs\reference_6275_flat\task036.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task036_ZeroInitializerCompression.onnx,867,867,0,3950,3950,0,16,16,0,0
task037,outputs\reference_6275_flat\task037.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task037_ZeroInitializerCompression.onnx,25086,25086,0,20424,20424,0,13,13,0,0
task038,outputs\reference_6275_flat\task038.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task038_ZeroInitializerCompression.onnx,298,298,0,2559,2559,0,13,13,0,0
task039,outputs\reference_6275_flat\task039.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task039_ZeroInitializerCompression.onnx,248,248,0,1913,1913,0,9,9,0,0
task040,outputs\reference_6275_flat\task040.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task040_ZeroInitializerCompression.onnx,370,370,0,4167,4167,0,20,20,0,0
task041,outputs\reference_6275_flat\task041.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task041_ZeroInitializerCompression.onnx,187,187,0,2110,2110,0,7,7,0,0
task042,outputs\reference_6275_flat\task042.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task042_ZeroInitializerCompression.onnx,2445,2445,0,8525,8525,0,22,22,0,0
task043,outputs\reference_6275_flat\task043.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task043_ZeroInitializerCompression.onnx,772,772,0,2224,2224,0,13,13,0,0
task044,outputs\reference_6275_flat\task044.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task044_ZeroInitializerCompression.onnx,567,567,0,22589,22589,0,21,21,0,0
task045,outputs\reference_6275_flat\task045.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task045_ZeroInitializerCompression.onnx,225,225,0,1425,1425,0,9,9,0,0
task046,outputs\reference_6275_flat\task046.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task046_ZeroInitializerCompression.onnx,2772,2772,0,5299,5299,0,26,26,0,0
task047,outputs\reference_6275_flat\task047.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task047_ZeroInitializerCompression.onnx,324,324,0,3091,3091,0,8,8,0,0
task048,outputs\reference_6275_flat\task048.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task048_ZeroInitializerCompression.onnx,396,396,0,4058,4058,0,15,15,0,0
task049,outputs\reference_6275_flat\task049.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task049_ZeroInitializerCompression.onnx,942,942,0,3516,3516,0,12,12,0,0
task050,outputs\reference_6275_flat\task050.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task050_ZeroInitializerCompression.onnx,675,261,-414,2006,1928,-78,9,9,1,225
task051,outputs\reference_6275_flat\task051.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task051_ZeroInitializerCompression.onnx,612,612,0,3352,3352,0,12,12,0,0
task052,outputs\reference_6275_flat\task052.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task052_ZeroInitializerCompression.onnx,231,231,0,986,986,0,12,12,0,0
task053,outputs\reference_6275_flat\task053.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task053_ZeroInitializerCompression.onnx,270,270,0,175,175,0,1,1,0,0
task054,outputs\reference_6275_flat\task054.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task054_ZeroInitializerCompression.onnx,1061,1061,0,5551,5551,0,16,16,0,0
task055,outputs\reference_6275_flat\task055.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task055_ZeroInitializerCompression.onnx,3162,498,-2664,13886,12225,-1661,37,37,1,900
task056,outputs\reference_6275_flat\task056.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task056_ZeroInitializerCompression.onnx,231,231,0,815,815,0,3,3,0,0
task057,outputs\reference_6275_flat\task057.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task057_ZeroInitializerCompression.onnx,173,173,0,1616,1616,0,6,6,0,0
task058,outputs\reference_6275_flat\task058.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task058_ZeroInitializerCompression.onnx,19415,19415,0,14194,14194,0,11,11,0,0
task059,outputs\reference_6275_flat\task059.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task059_ZeroInitializerCompression.onnx,7821,7821,0,6897,6897,0,16,16,0,0
task060,outputs\reference_6275_flat\task060.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task060_ZeroInitializerCompression.onnx,771,771,0,2458,2458,0,18,18,0,0
task061,outputs\reference_6275_flat\task061.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task061_ZeroInitializerCompression.onnx,17726,17726,0,17030,17030,0,12,12,0,0
task062,outputs\reference_6275_flat\task062.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task062_ZeroInitializerCompression.onnx,2994,2994,0,23218,23218,0,29,29,0,0
task063,outputs\reference_6275_flat\task063.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task063_ZeroInitializerCompression.onnx,276,276,0,3709,3709,0,13,13,0,0
task064,outputs\reference_6275_flat\task064.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task064_ZeroInitializerCompression.onnx,784,784,0,7151,7151,0,20,20,0,0
task065,outputs\reference_6275_flat\task065.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task065_ZeroInitializerCompression.onnx,369,369,0,1853,1853,0,12,12,0,0
task066,outputs\reference_6275_flat\task066.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task066_ZeroInitializerCompression.onnx,1236,1236,0,27538,27538,0,21,21,0,0
task067,outputs\reference_6275_flat\task067.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task067_ZeroInitializerCompression.onnx,165,165,0,892,892,0,4,4,0,0
task068,outputs\reference_6275_flat\task068.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task068_ZeroInitializerCompression.onnx,177,177,0,1602,1602,0,11,11,0,0
task069,outputs\reference_6275_flat\task069.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task069_ZeroInitializerCompression.onnx,4602,4602,0,30432,30432,0,41,41,0,0
task070,outputs\reference_6275_flat\task070.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task070_ZeroInitializerCompression.onnx,258,258,0,11844,11844,0,16,16,0,0
task071,outputs\reference_6275_flat\task071.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task071_ZeroInitializerCompression.onnx,393,393,0,5298,5298,0,13,13,0,0
task072,outputs\reference_6275_flat\task072.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task072_ZeroInitializerCompression.onnx,255,201,-54,1289,1366,77,8,8,1,30
task073,outputs\reference_6275_flat\task073.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task073_ZeroInitializerCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task074,outputs\reference_6275_flat\task074.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task074_ZeroInitializerCompression.onnx,321,321,0,1824,1824,0,13,13,0,0
task075,outputs\reference_6275_flat\task075.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task075_ZeroInitializerCompression.onnx,507,507,0,6812,6812,0,30,30,0,0
task076,outputs\reference_6275_flat\task076.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task076_ZeroInitializerCompression.onnx,1461,1461,0,24619,24619,0,32,32,0,0
task077,outputs\reference_6275_flat\task077.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task077_ZeroInitializerCompression.onnx,921,921,0,3638,3638,0,20,20,0,0
task078,outputs\reference_6275_flat\task078.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task078_ZeroInitializerCompression.onnx,252,252,0,1974,1974,0,11,11,0,0
task079,outputs\reference_6275_flat\task079.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task079_ZeroInitializerCompression.onnx,1301,1301,0,2695,2695,0,7,7,0,0
task080,outputs\reference_6275_flat\task080.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task080_ZeroInitializerCompression.onnx,1198,1198,0,10180,10180,0,35,35,0,0
task081,outputs\reference_6275_flat\task081.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task081_ZeroInitializerCompression.onnx,627,565,-62,3749,3845,96,17,17,1,49
task082,outputs\reference_6275_flat\task082.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task082_ZeroInitializerCompression.onnx,392,392,0,1638,1638,0,8,8,0,0
task083,outputs\reference_6275_flat\task083.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task083_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task084,outputs\reference_6275_flat\task084.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task084_ZeroInitializerCompression.onnx,499,499,0,2820,2820,0,14,14,0,0
task085,outputs\reference_6275_flat\task085.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task085_ZeroInitializerCompression.onnx,558,558,0,2547,2547,0,14,14,0,0
task086,outputs\reference_6275_flat\task086.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task086_ZeroInitializerCompression.onnx,717,717,0,3099,3099,0,19,19,0,0
task087,outputs\reference_6275_flat\task087.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task087_ZeroInitializerCompression.onnx,72,72,0,394,394,0,4,4,0,0
