"task_id","cost_delta","upload_submission_path","online_score","delta_vs_6275_09","decision"
"task184","-44964","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task184_ZeroInitializerCompression\submission.zip","","",""
"task392","-4992","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task392_ZeroInitializerCompression\submission.zip","","",""
"task330","-4960","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task330_ZeroInitializerCompression\submission.zip","","",""
"task338","-4464","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task338_ZeroInitializerCompression\submission.zip","","",""
"task279","-4464","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task279_ZeroInitializerCompression\submission.zip","","",""
"task364","-3035","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task364_ZeroInitializerCompression\submission.zip","","",""
"task131","-2664","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task131_ZeroInitializerCompression\submission.zip","","",""
"task275","-2664","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task275_ZeroInitializerCompression\submission.zip","","",""
"task198","-2664","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task198_ZeroInitializerCompression\submission.zip","","",""
"task145","-2664","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task145_ZeroInitializerCompression\submission.zip","","",""
"task345","-2664","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task345_ZeroInitializerCompression\submission.zip","","",""
"task055","-2664","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task055_ZeroInitializerCompression\submission.zip","","",""
"task104","-1872","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task104_ZeroInitializerCompression\submission.zip","","",""
"task285","-1791","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task285_ZeroInitializerCompression\submission.zip","","",""
"task195","-1764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task195_ZeroInitializerCompression\submission.zip","","",""
"task034","-1764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task034_ZeroInitializerCompression\submission.zip","","",""
"task349","-1764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task349_ZeroInitializerCompression\submission.zip","","",""
"task109","-1764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task109_ZeroInitializerCompression\submission.zip","","",""
"task281","-1764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task281_ZeroInitializerCompression\submission.zip","","",""
"task325","-1764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task325_ZeroInitializerCompression\submission.zip","","",""
"task280","-1164","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task280_ZeroInitializerCompression\submission.zip","","",""
"task270","-1089","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task270_ZeroInitializerCompression\submission.zip","","",""
"task371","-944","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task371_ZeroInitializerCompression\submission.zip","","",""
"task278","-936","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task278_ZeroInitializerCompression\submission.zip","","",""
"task249","-828","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task249_ZeroInitializerCompression\submission.zip","","",""
"task148","-828","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task148_ZeroInitializerCompression\submission.zip","","",""
"task204","-764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task204_ZeroInitializerCompression\submission.zip","","",""
"task246","-764","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task246_ZeroInitializerCompression\submission.zip","","",""
"task050","-414","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task050_ZeroInitializerCompression\submission.zip","","",""
"task024","-414","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task024_ZeroInitializerCompression\submission.zip","","",""
"task125","-414","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task125_ZeroInitializerCompression\submission.zip","","",""
"task353","-300","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task353_ZeroInitializerCompression\submission.zip","","",""
"task369","-264","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task369_ZeroInitializerCompression\submission.zip","","",""
"task226","-264","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task226_ZeroInitializerCompression\submission.zip","","",""
"task212","-264","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task212_ZeroInitializerCompression\submission.zip","","",""
"task030","-264","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task030_ZeroInitializerCompression\submission.zip","","",""
"task254","-207","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task254_ZeroInitializerCompression\submission.zip","","",""
"task231","-171","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task231_ZeroInitializerCompression\submission.zip","","",""
"task356","-164","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task356_ZeroInitializerCompression\submission.zip","","",""
"task348","-164","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task348_ZeroInitializerCompression\submission.zip","","",""
"task354","-164","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task354_ZeroInitializerCompression\submission.zip","","",""
"task336","-164","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task336_ZeroInitializerCompression\submission.zip","","",""
"task277","-164","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task277_ZeroInitializerCompression\submission.zip","","",""
"task381","-164","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task381_ZeroInitializerCompression\submission.zip","","",""
"task096","-162","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task096_ZeroInitializerCompression\submission.zip","","",""
"task320","-162","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task320_ZeroInitializerCompression\submission.zip","","",""
"task032","-144","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task032_ZeroInitializerCompression\submission.zip","","",""
"task139","-126","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task139_ZeroInitializerCompression\submission.zip","","",""
"task299","-72","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task299_ZeroInitializerCompression\submission.zip","","",""
"task081","-62","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task081_ZeroInitializerCompression\submission.zip","","",""
"task239","-54","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task239_ZeroInitializerCompression\submission.zip","","",""
"task072","-54","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task072_ZeroInitializerCompression\submission.zip","","",""
"task257","-12","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task257_ZeroInitializerCompression\submission.zip","","",""
"task144","-12","outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task144_ZeroInitializerCompression\submission.zip","","",""
