ordinal,task_id,replacement_model_path,source_estimated_cost,replacement_estimated_cost,cost_delta,base_entry_size_bytes,replacement_file_size_bytes,base_sha256,replacement_sha256,candidate_valid,failure_reason
1,task024,outputs\candidates\ref6275_zero_initializer_improved_flat\task024.onnx,765,351,-414,3233,3155,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,7af6a3182796c8c6a5ad3ca02ecbd8b131f506ef4d36168717f570b58cde9c54,True,
4,task034,outputs\candidates\ref6275_zero_initializer_improved_flat\task034.onnx,7701,5937,-1764,8450,7709,40e15c163ffd24e22a1ff78e4e3cda24a02c486f385e9e6f18214290493f4ce1,c2ba4a776cc900be013ebf09627ab4403481e72ee441c8e0d5dfde1dc62b4e96,True,
5,task050,outputs\candidates\ref6275_zero_initializer_improved_flat\task050.onnx,675,261,-414,2006,1928,a43a64896f788cffb0e83ee188a7680ae80f27578b1bb607a36e32c9a39258ab,692e5a2fe70e6e61f45bf46417c35f04cfb735eba363e8690ad1470ea6738024,True,
8,task081,outputs\candidates\ref6275_zero_initializer_improved_flat\task081.onnx,627,565,-62,3749,3845,118dc8373587509f07d12aec64778af91edff7253f80e273a30e5863c7b8c91b,d5b8e28f01be986f112b7ca51ea8a3198a1857f5d1893c5f77db2408d8ee6484,True,
9,task096,outputs\candidates\ref6275_zero_initializer_improved_flat\task096.onnx,3998,3836,-162,42567,42632,b30cea73c0dd44962cc8007fd69115a7480dda502337534b1c598b30451ed6af,de42f2ea7c5db0d5580ce7948ef94996546c146d339e971e2c8ee73aecfee1cb,True,
11,task109,outputs\candidates\ref6275_zero_initializer_improved_flat\task109.onnx,2280,516,-1764,5257,4516,d2ade70f5e497c980bfbb088e8cc977d66bc76830c18c7e11004e7eddfa1f726,d2441ff5ba50be09e8d4e9b55a371cded556b86ba538fb66f31683b50f97ce0a,True,
12,task125,outputs\candidates\ref6275_zero_initializer_improved_flat\task125.onnx,639,225,-414,3012,2918,6de7e9bc3627a673cfcc21fae47c3975d84f2be82b97a1f3e72653fb14ecbc96,26cda11391cc2fbf01ea054de0276df4eac5cd6c2d6707720e7815dbfc202b75,True,
14,task139,outputs\candidates\ref6275_zero_initializer_improved_flat\task139.onnx,988,862,-126,3865,3929,e3e6133e136fc342560390d22bb08861dc290ef6c9f64e8854070984d4a5946f,091ea52d40dd43f09f0407c3513d01d2f1713cf1dfe82e7443df6b27597827e0,True,
19,task195,outputs\candidates\ref6275_zero_initializer_improved_flat\task195.onnx,4073,2309,-1764,5381,4640,ba4b722b42ea9bdbffbe4fcf38c90d387045eee91e245e77f502c246c158e0dd,55278b3de42b69b6996d9bbdb8f16d6b6efe5143fa33711becc2a82307392799,True,
21,task204,outputs\candidates\ref6275_zero_initializer_improved_flat\task204.onnx,3563,2799,-764,7250,6981,ba4ffbc5c9eef0b8cdd6718a27b6cbdd935d550ffba5f90c34d687d2d4595565,c05eedda560c39de14cb0b824f45f7084cf36af71873552964c9081c82077b2e,True,
24,task231,outputs\candidates\ref6275_zero_initializer_improved_flat\task231.onnx,837,666,-171,2684,2767,0c1e71372911c46c9c64b66ca2cb0069688208ae594f8bbcb5c63f8cce07a8f2,d934790d52c06cce28e67a90c9dede4811aee6406b856c98d06af1dd6211b9f2,True,
25,task239,outputs\candidates\ref6275_zero_initializer_improved_flat\task239.onnx,1284,1230,-54,3146,3219,1bb32963e7cb07aed708c1c9c2e30991506b48570898ddade7fec2515559fc95,aa1d00a165e3a6b5356ad1a6f4d734adf818705c0f5e7144e16d3f4c4ce8d806,True,
26,task246,outputs\candidates\ref6275_zero_initializer_improved_flat\task246.onnx,1079,315,-764,3824,3571,379b5a73e3dee6f56eedab3ab0bd0ed8414179c6e7ae1edd0a948060d6401309,c01e71106e6e41ec96a1008a0bc734c04d46d6c72c840bcfcedbd24c18ec69dc,True,
32,task277,outputs\candidates\ref6275_zero_initializer_improved_flat\task277.onnx,913,749,-164,6687,6720,cdd58c9156822d0c5c668ebff763d57659136b9c3169c7db59aad321bb92dad1,800d96aa7e792ccf926afd91d8f2be20f25e2864aed0f18e48bed11697c29f38,True,
33,task278,outputs\candidates\ref6275_zero_initializer_improved_flat\task278.onnx,1248,312,-936,2799,2286,a70f9cf378e14a966f9c6ecc992d9e4373e7f5f959ed026f6623cb7be8929ea8,feae1a0f762047bb2c2c940233db0e1532aeabe70ca43e850e8416203915d325,True,
34,task279,outputs\candidates\ref6275_zero_initializer_improved_flat\task279.onnx,5271,807,-4464,10314,6852,77ad3d002b2c64888991d763c754fc018247f352e78c562d64fca7db08032314,80787dedbd2df0cf588454bd0391f21880fccb24bcbafbd2695a13d48218c07c,True,
35,task280,outputs\candidates\ref6275_zero_initializer_improved_flat\task280.onnx,2862,1698,-1164,15536,14871,afe82e825f05eb8daa95905da41fc0553888bdcc6a5dbe4dff660c07806fdff3,5cf5227fbaea2dd6a5146a316d42d36cfbc3867c1518b605cbb8ef9445113c13,True,
