task_id,selected_by,replacement_model_path,candidate_zip_path,upload_submission_path,archive_estimated_cost,current_estimated_cost,cost_delta_archive_minus_current,base_entry_size_bytes,replacement_file_size_bytes,base_sha256,replacement_sha256,candidate_valid,failure_reason
task024,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task024.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task024_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task024_ZeroInitializerCompression\submission.zip,,,,3233,3155,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,7af6a3182796c8c6a5ad3ca02ecbd8b131f506ef4d36168717f570b58cde9c54,True,
task030,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task030.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task030_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task030_ZeroInitializerCompression\submission.zip,,,,7164,7099,43fd7e732de5f101746ecfc019fbfe0b26d905fa86bda27e5d84faafcc773733,05ca210628d1f51c8b79976c89531b1daff0cb7bcaf2a85df08d8568d4ae67da,True,
task032,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task032.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task032_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task032_ZeroInitializerCompression\submission.zip,,,,2347,2349,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,a88eeac0a272a75c23d7cf0aa08c77b063be9480ec11c0955b1410a1f4c0d0fc,True,
task034,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task034.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task034_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task034_ZeroInitializerCompression\submission.zip,,,,8450,7709,40e15c163ffd24e22a1ff78e4e3cda24a02c486f385e9e6f18214290493f4ce1,c2ba4a776cc900be013ebf09627ab4403481e72ee441c8e0d5dfde1dc62b4e96,True,
task050,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task050.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task050_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task050_ZeroInitializerCompression\submission.zip,,,,2006,1928,a43a64896f788cffb0e83ee188a7680ae80f27578b1bb607a36e32c9a39258ab,692e5a2fe70e6e61f45bf46417c35f04cfb735eba363e8690ad1470ea6738024,True,
task055,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task055.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task055_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task055_ZeroInitializerCompression\submission.zip,,,,13886,12225,af92ce2ca4857d58e51cfa086182fd59313bd341f4f07fa157fa0f684d675f92,4466361c854ca318f5ce476d4ee2d5c6f8f101cbc65992c99dd1667b94c38b21,True,
task072,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task072.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task072_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task072_ZeroInitializerCompression\submission.zip,,,,1289,1366,ce9138206dc060641e07a1ee45e8b332b0e4bcdfe0a06d625d8668c10d6d33e5,a78a3b3e2b4222373c53bb092c5f31b1a1f365004d1439401337c7c9958ee7ff,True,
task081,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task081.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task081_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task081_ZeroInitializerCompression\submission.zip,,,,3749,3845,118dc8373587509f07d12aec64778af91edff7253f80e273a30e5863c7b8c91b,d5b8e28f01be986f112b7ca51ea8a3198a1857f5d1893c5f77db2408d8ee6484,True,
task096,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task096.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task096_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task096_ZeroInitializerCompression\submission.zip,,,,42567,42632,b30cea73c0dd44962cc8007fd69115a7480dda502337534b1c598b30451ed6af,de42f2ea7c5db0d5580ce7948ef94996546c146d339e971e2c8ee73aecfee1cb,True,
task104,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task104.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task104_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task104_ZeroInitializerCompression\submission.zip,,,,3505,2495,2a9e28757c576c2248ca53c517bd98d43633ab65ecfa9542bebc9fc050ad2b0a,297b361ecaccb5e49f950dbd743a15e4fb9db9b33ec9ab7856666a5fd90e46bf,True,
