task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task001,base_submission,outputs\reference_6348_56_stack\base_submission\task001.onnx,,172,172,0,1433,1433,0,148,148,0,4,4,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task002,base_submission,outputs\reference_6348_56_stack\base_submission\task002.onnx,,1965,1965,0,15506,15506,0,1472,1472,0,32,32,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task003,base_submission,outputs\reference_6348_56_stack\base_submission\task003.onnx,,74,74,0,4167,4167,0,64,64,0,10,10,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task004,base_submission,outputs\reference_6348_56_stack\base_submission\task004.onnx,,3060,3060,0,2522,2522,0,2040,2040,0,4,4,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task005,base_submission,outputs\reference_6348_56_stack\base_submission\task005.onnx,,1044,1044,0,10910,10910,0,708,708,0,19,19,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task006,base_submission,outputs\reference_6348_56_stack\base_submission\task006.onnx,,339,339,0,1364,1364,0,292,292,0,10,10,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task007,base_submission,outputs\reference_6348_56_stack\base_submission\task007.onnx,,271,271,0,1603,1603,0,240,240,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task008,base_submission,outputs\reference_6348_56_stack\base_submission\task008.onnx,,382,382,0,7667,7667,0,321,321,0,21,21,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task009,base_submission,outputs\reference_6348_56_stack\base_submission\task009.onnx,,33147,33147,0,30956,30956,0,29306,29306,0,6,6,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task010,base_submission,outputs\reference_6348_56_stack\base_submission\task010.onnx,,521,521,0,6061,6061,0,444,444,0,26,26,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
