task_id,current_cost,current_file_size,rule_name,match_status,match_confidence,match_reason,builder_available,candidate_model_path,validation_passed,candidate_cost,candidate_file_size,failure_reason,replace_recommended,selected_replacement
task200,990050,797905,IdentityRule,REJECT,REJECT,input_output_not_identical,False,,,,,,False,False
task200,990050,797905,ColorMapRule,REJECT,REJECT,"inconsistent mapping for color 0: 0 vs 2 at case 0, row 0, col 1",False,,,,,,False,False
task200,990050,797905,OneStepTranslationRule,REJECT,REJECT,no one-step translation matches all train cases,False,,,,,,False,False
task200,990050,797905,MirrorRule,REJECT,REJECT,no mirror mode matches all train cases,False,,,,,,False,False
task200,990050,797905,DynamicActiveMirrorRule,REJECT,REJECT,no active mirror mode matches all train cases,False,,,,,,False,False
task200,990050,797905,DiagonalBottomFillRule,REJECT,REJECT,left_column_color_must_be_nonzero,False,,,,,,False,False
task200,990050,797905,BottomMarkerVerticalStripeRule,MATCH,MATCH,matched bottom marker vertical stripes with color-5 connectors,True,outputs\candidates\replacements\task200_BottomMarkerVerticalStripeRule.onnx,True,992,14264,,True,True
task200,990050,797905,RotateRule,REJECT,REJECT,no rotation matches all train cases,False,,,,,,False,False
task200,990050,797905,CropRule,REJECT,REJECT,no fixed crop matches all train cases,False,,,,,,False,False
task200,990050,797905,ScaleRepeatRule,REJECT,REJECT,no fixed scale repeat matches all train cases,False,,,,,,False,False
task200,990050,797905,StridedSubsampleRule,REJECT,REJECT,no fixed strided sample matches all train cases,False,,,,,,False,False
task200,990050,797905,TileRepeatRule,REJECT,REJECT,tile factor is identity,False,,,,,,False,False
task200,990050,797905,MirrorConcatRule,REJECT,REJECT,no mirror concat pattern matches all train cases,False,,,,,,False,False
task200,990050,797905,SelfKronMaskRule,REJECT,REJECT,output_shape_is_not_self_kron_size,False,,,,,,False,False
task200,990050,797905,GeneralizedPanelRule,REJECT,REJECT,no generalized panel layout found,False,,,,,,False,False
task200,990050,797905,PanelSeparatorBinaryOpRule,REJECT,REJECT,no complete equal-size panel separator found,False,,,,,,False,False
task200,990050,797905,PanelSelectByColorRule,REJECT,REJECT,no panel selection matches all train cases,False,,,,,,False,False
task200,990050,797905,PeriodicExtensionColorMapRule,REJECT,REJECT,periodic_extension_output_size_is_identity,False,,,,,,False,False
task200,990050,797905,HoleFillRule,REJECT,REJECT,no hole fill matches all train cases,False,,,,,,False,False
task200,990050,797905,LocalNeighborhoodFillRule,REJECT,REJECT,no local neighborhood fill matches all train cases,False,,,,,,False,False
task200,990050,797905,SubstructureExtractRule,REJECT,REJECT,no substructure color map matches all train cases,False,,,,,,False,False
task200,990050,797905,TileFromBBoxRepeatRule,REJECT,REJECT,no shared bbox tile repeat matches all train cases,False,,,,,,False,False
task200,990050,797905,MultiStepTranslationRule,REJECT,REJECT,no multi-step translation matches all train cases,False,,,,,,False,False
task200,990050,797905,SymmetryCompletionRule,REJECT,REJECT,no symmetry completion matches all train cases,False,,,,,,False,False
task200,990050,797905,RectangleAndLineRule,REJECT,REJECT,no rectangle or line transform matches all train cases,False,,,,,,False,False
task200,990050,797905,ObjectSelectionRule,REJECT,REJECT,no object selection matches all train cases,False,,,,,,False,False
task200,990050,797905,LocalNeighborhoodRewriteRule,REJECT,REJECT,no local neighborhood rewrite matches all train cases,False,,,,,,False,False
task200,990050,797905,DynamicQuadrantPanelSelectRule,REJECT,REJECT,input is not an odd square 2x2 center-cross panel grid,False,,,,,,False,False
task200,990050,797905,DynamicBBoxCropRule,REJECT,REJECT,no dynamic bbox crop matches all train cases,False,,,,,,False,False
task200,990050,797905,DynamicNonBackgroundBBoxCropRule,REJECT,REJECT,no dynamic non-background bbox crop matches all train cases,False,,,,,,False,False
task200,990050,797905,FrameInteriorRule,REJECT,REJECT,no frame interior transform matches all train cases,False,,,,,,False,False
task200,990050,797905,ComposedRuleSearch,REJECT,REJECT,no two-step composition matches all train cases,False,,,,,,False,False
task200,990050,797905,DynamicBBoxExtremeColorSwapRule,REJECT,REJECT,no dynamic bbox extreme color swap matches all train cases,False,,,,,,False,False
