task_id,rule_name,near_miss_type,matched_cases,total_cases,first_failed_case,reason,suggested_fix
task004,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task005,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task007,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task008,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task009,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task010,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task011,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task012,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task013,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task014,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task015,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task017,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task018,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task019,CropRule,blocked_by_shared_output_shape,,4,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task020,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task021,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task022,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task023,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task024,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task025,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task027,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task028,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task029,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task030,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task032,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task033,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task034,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task035,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task036,CropRule,blocked_by_shared_output_shape,,2,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task037,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task038,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task039,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task040,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task041,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task042,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task043,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task044,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task045,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task046,CropRule,blocked_by_shared_output_shape,,4,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task047,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task049,CropRule,blocked_by_shared_output_shape,,5,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
