task_id,current_cost,current_score,score_if_10000,score_if_3000,score_if_1000,score_if_300,potential_to_1000,potential_to_300,gain_category,same_shape,num_colors_in,num_colors_out,shape_relation,current_model_type,task_family,online_history
task133,1406822,10.8432,15.7897,16.9936,18.0922,19.2962,7.2491,8.4531,high_potential,True,7,7,same_shape,same_shape_mask_or_remap,,candidates\ablation_group_b_task133\task133_MaskAlgebraDedup.onnx; candidates\task133_mask_algebra\task133_Task133MaskAlgebra.onnx; candidates\task133_mask_algebra\task133_Task133MaskAlgebraDedup.onnx; candidates\task133_mask_algebra\task133_Task133MaskAlgebra.onnx; candidates\task133_mask_algebra\task133_Task133MaskAlgebraDedup.onnx; candidates\ablation_task133_gather\task133_ChannelGather.onnx
task157,809080,11.3963,15.7897,16.9936,18.0922,19.2962,6.6959,7.8999,high_potential,True,3,3,same_shape,unknown,,candidates\ablation_group_a_dtype\task157_InitializerDtypeCompression.onnx; candidates\ablation_identity\task157_IdentityRemoved.onnx; candidates\deduplicated_all\task157_DeduplicateInitializers.onnx; candidates\enumeration_table_prune_conservative\task157_PlacementConservative.onnx; candidates\enumeration_table_prune_conservative_b2\task157_PlacementConservative.onnx; candidates\enumeration_table_prune_conservative_b3\task157_PlacementConservative.onnx; candidates\task157_placement_prune\task157_PlacementPruneComponent.onnx; candidates\task157_placement_prune\task157_PlacementPruneObserved.onnx; candidates\ablation_zero_add\task157_ZeroAddRemoved.onnx
task233,661410,11.5979,15.7897,16.9936,18.0922,19.2962,6.4944,7.6983,high_potential,False,7,6,crop,crop_or_extract,,candidates\dtype_ablation_round2\task233_InitializerDtypeCompression.onnx; candidates\task233_board_hole_paste_valid\task233_BoardHolePasteAtMostTwoDistinct.onnx; candidates\task233_board_hole_paste_valid\task233_BoardHolePasteObservedLabelled.onnx; candidates\task233_board_hole_paste_valid\task233_BoardHolePasteOneNonzero.onnx; candidates\ablation_task233_combo_prune\task233_ComboPruneConservative.onnx; candidates\ablation_task233_combo_prune\task233_ComboPruneObserved.onnx; candidates\ablation_task233_conservative\task233_ComboPruneConservative.onnx; candidates\ablation_task233_rowprune\task233_RowPruneConservative.onnx; candidates\ablation_task233_vconservative\task233_ComboPruneVeryConservative.onnx
task366,260211,12.5308,15.7897,16.9936,18.0922,19.2962,5.5615,6.7655,high_potential,False,7,7,crop,crop_or_extract,,candidates\ablation_group_a_dtype\task366_InitializerDtypeCompression.onnx; candidates\ablation_identity\task366_IdentityRemoved.onnx; candidates\deduplicated_all\task366_DeduplicateInitializers.onnx; candidates\zero_initializer_compressed\task366_ZeroInitializerCompression.onnx; candidates\ablation_zero_add\task366_ZeroAddRemoved.onnx
task367,219324,12.7017,15.7897,16.9936,18.0922,19.2962,5.3906,6.5945,high_potential,True,2,3,same_shape,unknown,,candidates\ablation_group_a_dtype\task367_InitializerDtypeCompression.onnx; candidates\ablation_identity\task367_IdentityRemoved.onnx; candidates\replacements\task367_DynamicRectangularCavityFillRule.onnx; candidates\deduplicated_all\task367_DeduplicateInitializers.onnx; candidates\dtype_ablation_round2\task367_InitializerDtypeCompression.onnx; delta=-0.94 | online_score=6028.06 | reject; delta=-0.94 | online_score=6028.06 | reject
task363,193391,12.8275,15.7897,16.9936,18.0922,19.2962,5.2647,6.4687,high_potential,True,3,3,same_shape,same_shape_mask_or_remap,,candidates\ablation_group_a_dtype\task363_InitializerDtypeCompression.onnx; candidates\ablation_identity\task363_IdentityRemoved.onnx; candidates\deduplicated_all\task363_DeduplicateInitializers.onnx; candidates\dtype_ablation_round2\task363_InitializerDtypeCompression.onnx; candidates\task363_sparse_shift_conv\task363_SparseShiftConvRewrite.onnx
task209,116524,13.3341,15.7897,16.9936,18.0922,19.2962,4.7581,5.9621,high_potential,False,6,6,crop,crop_or_extract,,candidates\ablation_group_a_dtype\task209_InitializerDtypeCompression.onnx; candidates\dtype_ablation_round2\task209_InitializerDtypeCompression.onnx; candidates\task209_prior_range_prune\task209_PriorRangeConservative.onnx; candidates\task209_prior_range_prune\task209_PriorRangeObserved.onnx
task396,110040,13.3914,15.7897,16.9936,18.0922,19.2962,4.7008,5.9048,high_potential,False,5,4,crop,crop_or_extract,,candidates\ablation_group_a_dtype\task396_InitializerDtypeCompression.onnx; candidates\ablation_rowbank_396\task396_RowBankPrefixMedium.onnx; candidates\ablation_rowbank_396\task396_RowBankPrefixObserved.onnx; candidates\replacements\task396_DynamicLargestFrameRecolorCropRule.onnx; candidates\dtype_ablation_round2\task396_InitializerDtypeCompression.onnx; candidates\enumeration_table_prune_conservative_b2\task396_RowBankPrefixConservative.onnx; candidates\enumeration_table_prune_conservative_b3\task396_RowBankPrefixConservative.onnx; candidates\task396_row_bank_followup\task396_RowBankPrefixMedium.onnx; candidates\task396_row_bank_followup\task396_RowBankPrefixObserved.onnx; delta=-1.01 | online_score=6027.99 | reject; delta=-1.01 | online_score=6027.99 | reject
task028,63050,13.9483,15.7897,16.9936,18.0922,19.2962,4.1439,5.3479,high_potential,True,5,5,same_shape,same_shape_mask_or_remap,,candidates\ablation_group_a_dtype\task028_InitializerDtypeCompression.onnx; candidates\replacements\task028_TwoMarkerHorizontalBandRule.onnx; candidates\dtype_ablation_round2\task028_InitializerDtypeCompression.onnx; delta=-0.20 | online_score=6028.80 | reject; delta=-0.20 | online_score=6028.80 | reject
task255,58680,14.0201,15.7897,16.9936,18.0922,19.2962,4.0721,5.2761,high_potential,True,4,5,same_shape,unknown,,candidates\ablation_group_a_dtype\task255_InitializerDtypeCompression.onnx; candidates\dtype_ablation_round2\task255_InitializerDtypeCompression.onnx; candidates\task255_interval_safe_drop\task255_IntervalPruneSafeDrop.onnx
