split,case_index,step,prefix_size,target_slot,argmax_output,selected_rows,selected_components,source_components,source_component_sizes
train,0,0,0,0,argmax_1039,[357],[1],[1],[261]
train,0,1,1,1,argmax_1098,[628],[2],[2],[261]
train,0,2,2,2,argmax_1157,[131],[0],[0],[261]
train,0,3,3,3,argmax_1216,[0],[0],[0],[261]
train,0,4,4,4,argmax_1275,[0],[0],[0],[261]
train,1,0,0,0,argmax_1039,[595],[2],[2],[261]
train,1,1,1,1,argmax_1098,[923],[3],[3],[261]
train,1,2,2,2,argmax_1157,[89],[0],[0],[261]
train,1,3,3,3,argmax_1216,[356],[1],[1],[261]
train,1,4,4,4,argmax_1275,[0],[0],[0],[261]
test,0,0,0,0,argmax_1039,[125],[0],[0],[261]
test,0,1,1,1,argmax_1098,[633],[2],[2],[261]
test,0,2,2,2,argmax_1157,[385],[1],[1],[261]
test,0,3,3,3,argmax_1216,[0],[0],[0],[261]
test,0,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,0,0,0,0,argmax_1039,[688],[2],[2],[261]
arc-gen,0,1,1,1,argmax_1098,[891],[3],[3],[261]
arc-gen,0,2,2,2,argmax_1157,[357],[1],[1],[261]
arc-gen,0,3,3,3,argmax_1216,[89],[0],[0],[261]
arc-gen,0,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,1,0,0,0,argmax_1039,[120],[0],[0],[261]
arc-gen,1,1,1,1,argmax_1098,[392],[1],[1],[261]
arc-gen,1,2,2,2,argmax_1157,[633],[2],[2],[261]
arc-gen,1,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,1,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,2,0,0,0,argmax_1039,[67],[0],[0],[261]
arc-gen,2,1,1,1,argmax_1098,[338],[1],[1],[261]
arc-gen,2,2,2,2,argmax_1157,[622],[2],[2],[261]
arc-gen,2,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,2,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,3,0,0,0,argmax_1039,[655],[2],[2],[261]
arc-gen,3,1,1,1,argmax_1098,[103],[0],[0],[261]
arc-gen,3,2,2,2,argmax_1157,[356],[1],[1],[261]
arc-gen,3,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,3,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,4,0,0,0,argmax_1039,[629],[2],[2],[261]
arc-gen,4,1,1,1,argmax_1098,[132],[0],[0],[261]
arc-gen,4,2,2,2,argmax_1157,[332],[1],[1],[261]
arc-gen,4,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,4,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,5,0,0,0,argmax_1039,[101],[0],[0],[261]
arc-gen,5,1,1,1,argmax_1098,[419],[1],[1],[261]
arc-gen,5,2,2,2,argmax_1157,[624],[2],[2],[261]
arc-gen,5,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,5,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,6,0,0,0,argmax_1039,[392],[1],[1],[261]
arc-gen,6,1,1,1,argmax_1098,[623],[2],[2],[261]
arc-gen,6,2,2,2,argmax_1157,[158],[0],[0],[261]
