task_id,split,case_index,passed,input_shape,output_shape,board_bbox,num_holes,num_templates,failure_reason
task233,train,0,True,24x19,17x9,"(1, 2, 17, 10)",5,5,
task233,train,1,True,20x10,8x8,"(1, 1, 8, 8)",3,2,
task233,train,2,True,16x12,9x9,"(6, 1, 14, 9)",1,1,
task233,test,0,True,19x15,8x12,"(1, 2, 8, 13)",4,4,
task233,arc-gen,0,True,27x29,18x20,"(8, 8, 25, 27)",7,5,
task233,arc-gen,1,True,13x25,8x16,"(4, 1, 11, 16)",2,1,
task233,arc-gen,2,True,29x25,19x16,"(9, 2, 27, 17)",5,3,
task233,arc-gen,3,True,27x25,19x15,"(7, 8, 25, 22)",4,4,
task233,arc-gen,4,True,21x23,12x16,"(8, 3, 19, 18)",5,3,
task233,arc-gen,5,True,16x19,9x12,"(2, 2, 10, 13)",2,2,
task233,arc-gen,6,True,20x20,10x10,"(4, 4, 13, 13)",1,1,
task233,arc-gen,7,True,29x28,19x20,"(8, 4, 26, 23)",5,4,
task233,arc-gen,8,True,28x17,18x8,"(6, 7, 23, 14)",1,1,
task233,arc-gen,9,True,14x20,10x10,"(1, 7, 10, 16)",1,1,
task233,arc-gen,10,True,27x19,19x10,"(6, 1, 24, 10)",4,3,
task233,arc-gen,11,True,17x19,9x12,"(5, 1, 13, 12)",1,1,
task233,arc-gen,12,True,26x27,19x17,"(6, 1, 24, 17)",6,4,
task233,arc-gen,13,True,24x19,15x10,"(7, 4, 21, 13)",1,1,
task233,arc-gen,14,True,25x20,17x13,"(7, 2, 23, 14)",6,3,
task233,arc-gen,15,True,30x30,20x20,"(4, 3, 23, 22)",7,4,
task233,arc-gen,16,True,21x24,13x17,"(2, 4, 14, 20)",2,2,
task233,arc-gen,17,True,23x25,13x17,"(1, 7, 13, 23)",7,5,
task233,arc-gen,18,True,27x23,17x14,"(2, 7, 18, 20)",5,2,
task233,arc-gen,19,True,20x26,11x18,"(2, 3, 12, 20)",4,3,
task233,arc-gen,20,True,25x28,15x18,"(1, 8, 15, 25)",8,5,
task233,arc-gen,21,True,30x28,20x18,"(9, 2, 28, 19)",6,5,
task233,arc-gen,22,True,23x24,16x15,"(4, 5, 19, 19)",3,2,
task233,arc-gen,23,True,21x23,14x15,"(5, 7, 18, 21)",3,2,
task233,arc-gen,24,True,28x19,19x11,"(1, 4, 19, 14)",4,2,
task233,arc-gen,25,True,23x21,18x11,"(3, 9, 20, 19)",10,5,
task233,arc-gen,26,True,27x30,18x20,"(1, 2, 18, 21)",6,4,
task233,arc-gen,27,True,19x26,11x19,"(7, 2, 17, 20)",2,2,
task233,arc-gen,28,True,19x26,11x17,"(7, 1, 17, 17)",5,5,
task233,arc-gen,29,True,24x19,17x9,"(2, 1, 18, 9)",6,3,
task233,arc-gen,30,True,23x19,17x12,"(1, 1, 17, 12)",4,3,
task233,arc-gen,31,True,28x25,20x17,"(2, 3, 21, 19)",6,3,
task233,arc-gen,32,True,23x29,13x19,"(3, 8, 15, 26)",9,5,
task233,arc-gen,33,True,15x16,10x10,"(4, 5, 13, 14)",1,1,
task233,arc-gen,34,True,24x24,16x15,"(3, 1, 18, 15)",7,4,
task233,arc-gen,35,True,18x18,13x12,"(1, 1, 13, 12)",1,1,
task233,arc-gen,36,True,26x26,18x16,"(7, 7, 24, 22)",4,3,
task233,arc-gen,37,True,20x25,15x16,"(4, 1, 18, 16)",4,2,
task233,arc-gen,38,True,21x21,11x15,"(9, 5, 19, 19)",4,3,
task233,arc-gen,39,True,16x25,10x16,"(1, 2, 10, 17)",8,5,
task233,arc-gen,40,True,23x26,14x18,"(4, 7, 17, 24)",2,2,
task233,arc-gen,41,True,26x25,19x16,"(6, 1, 24, 16)",3,3,
task233,arc-gen,42,True,17x14,11x9,"(5, 1, 15, 9)",1,1,
task233,arc-gen,43,True,17x29,8x19,"(2, 8, 9, 26)",8,4,
task233,arc-gen,44,True,21x23,14x14,"(2, 7, 15, 20)",1,1,
task233,arc-gen,45,True,19x13,10x11,"(1, 1, 10, 11)",2,1,
task233,arc-gen,46,True,29x27,20x17,"(6, 4, 25, 20)",3,3,
task233,arc-gen,47,True,19x25,9x17,"(5, 6, 13, 22)",4,2,
task233,arc-gen,48,True,27x25,18x15,"(2, 9, 19, 23)",6,5,
task233,arc-gen,49,True,28x23,20x15,"(1, 1, 20, 15)",4,4,
task233,arc-gen,50,True,20x25,10x15,"(8, 7, 17, 21)",4,2,
task233,arc-gen,51,True,25x30,16x20,"(4, 6, 19, 25)",6,3,
task233,arc-gen,52,True,19x29,9x19,"(1, 2, 9, 20)",6,4,
task233,arc-gen,53,True,21x23,12x14,"(6, 8, 17, 21)",5,4,
