value_name,value_kind,old_shape,new_shape,old_num_elements,new_num_elements,action
I0,initializer,452,305,452,305,sliced
I1,initializer,452,305,452,305,sliced
ILEN,initializer,452,305,452,305,sliced
MEMB,initializer,452x30,305x30,13560,9150,sliced
AT0,initializer,452,305,452,305,sliced
AT1,initializer,452,305,452,305,sliced
rng,initializer,452,305,452,305,renumbered
up_idx,initializer,452,305,452,305,remapped
dn_idx,initializer,452,305,452,305,remapped
/Constant_25_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
/Constant_26_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
/Constant_35_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
/Constant_36_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
