value_name,value_kind,old_shape,new_shape,old_num_elements,new_num_elements,action
I0,initializer,465,122,465,122,sliced
I1,initializer,465,122,465,122,sliced
ILEN,initializer,465,122,465,122,sliced
MEMB,initializer,465x30,122x30,13950,3660,sliced
AT0,initializer,465,122,465,122,sliced
AT1,initializer,465,122,465,122,sliced
rng,initializer,465,122,465,122,renumbered
up_idx,initializer,465,122,465,122,remapped
dn_idx,initializer,465,122,465,122,remapped
/Constant_25_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
/Constant_26_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
/Constant_35_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
/Constant_36_output_0,constant_node,scalar,scalar,1,1,row_count_scalar_updated
