split,case_index,first_a,first_b,second_a,second_b,argmax0,argmax1
train,0,139,220,0,0,64855,0
train,1,29,148,0,0,13633,0
train,2,29,198,0,0,13683,0
test,0,240,29,0,0,111629,0
arc-gen,0,29,266,0,0,13751,0
arc-gen,1,29,243,0,0,13728,0
arc-gen,2,29,242,0,0,13727,0
arc-gen,3,25,239,0,0,11864,0
arc-gen,4,29,263,0,0,13748,0
arc-gen,5,379,29,0,0,176264,0
arc-gen,6,352,29,0,0,163709,0
arc-gen,7,29,222,0,0,13707,0
arc-gen,8,219,29,0,0,101864,0
arc-gen,9,29,147,0,0,13632,0
arc-gen,10,29,242,0,0,13727,0
arc-gen,11,221,29,0,0,102794,0
arc-gen,12,379,29,0,0,176264,0
arc-gen,13,174,29,0,0,80939,0
arc-gen,14,381,29,0,0,177194,0
arc-gen,15,239,29,0,0,111164,0
arc-gen,16,379,29,0,0,176264,0
arc-gen,17,29,223,0,0,13708,0
arc-gen,18,334,29,0,0,155339,0
arc-gen,19,29,239,0,0,13724,0
arc-gen,20,139,245,0,0,64880,0
arc-gen,21,29,261,0,0,13746,0
arc-gen,22,29,198,0,0,13683,0
arc-gen,23,149,29,0,0,69314,0
arc-gen,24,301,139,0,0,140104,0
arc-gen,25,240,29,0,0,111629,0
arc-gen,26,353,139,0,0,164284,0
arc-gen,27,239,139,0,0,111274,0
arc-gen,28,220,29,0,0,102329,0
arc-gen,29,366,29,0,0,170219,0
arc-gen,30,147,29,0,0,68384,0
arc-gen,31,29,262,0,0,13747,0
arc-gen,32,29,260,0,0,13745,0
arc-gen,33,320,29,0,0,148829,0
arc-gen,34,29,149,0,0,13634,0
arc-gen,35,321,139,0,0,149404,0
arc-gen,36,29,146,0,0,13631,0
arc-gen,37,194,139,12,322,90349,5902
arc-gen,38,172,29,0,0,80009,0
arc-gen,39,29,196,0,0,13681,0
arc-gen,40,29,148,0,0,13633,0
arc-gen,41,284,139,0,0,132199,0
arc-gen,42,367,139,0,0,170794,0
arc-gen,43,29,171,0,0,13656,0
arc-gen,44,29,265,0,0,13750,0
arc-gen,45,29,261,0,0,13746,0
arc-gen,46,139,197,355,15,64832,165090
arc-gen,47,29,243,200,18,13728,93018
arc-gen,48,25,170,0,0,11795,0
arc-gen,49,194,29,0,0,90239,0
arc-gen,50,29,261,264,16,13746,122776
arc-gen,51,352,29,359,247,163709,167182
arc-gen,52,29,260,0,0,13745,0
arc-gen,53,147,29,0,0,68384,0
arc-gen,54,354,139,0,0,164749,0
arc-gen,55,381,29,386,202,177194,179692
arc-gen,56,29,196,0,0,13681,0
arc-gen,57,29,149,0,0,13634,0
arc-gen,58,29,217,0,0,13702,0
arc-gen,59,29,262,0,0,13747,0
arc-gen,60,29,223,0,0,13708,0
arc-gen,61,335,29,0,0,155804,0
arc-gen,62,285,29,0,0,132554,0
arc-gen,63,367,29,0,0,170684,0
arc-gen,64,170,29,0,0,79079,0
arc-gen,65,175,29,0,0,81404,0
arc-gen,66,335,29,344,221,155804,160181
arc-gen,67,29,171,0,0,13656,0
arc-gen,68,145,29,0,0,67454,0
arc-gen,69,29,222,0,0,13707,0
arc-gen,70,25,263,0,0,11888,0
arc-gen,71,195,29,0,0,90704,0
arc-gen,72,25,148,0,0,11773,0
arc-gen,73,29,220,0,0,13705,0
arc-gen,74,223,139,0,0,103834,0
