bank_id,value_name,old_shape,new_shape,old_num_elements,new_num_elements,prefix,action
0,row_bank_0,225,215,225,215,215,prefix_sliced
0,col_bank_0,225,215,225,215,215,prefix_sliced
1,row_bank_1,210,193,210,193,193,prefix_sliced
1,col_bank_1,210,193,210,193,193,prefix_sliced
3,row_bank_3,180,162,180,162,162,prefix_sliced
3,col_bank_3,180,162,180,162,162,prefix_sliced
4,row_bank_4,165,149,165,149,149,prefix_sliced
4,col_bank_4,165,149,165,149,149,prefix_sliced
5,row_bank_5,210,196,210,196,196,prefix_sliced
5,col_bank_5,210,196,210,196,196,prefix_sliced
6,row_bank_6,196,177,196,177,177,prefix_sliced
6,col_bank_6,196,177,196,177,177,prefix_sliced
7,row_bank_7,182,164,182,164,164,prefix_sliced
7,col_bank_7,182,164,182,164,164,prefix_sliced
8,row_bank_8,168,152,168,152,152,prefix_sliced
8,col_bank_8,168,152,168,152,152,prefix_sliced
9,row_bank_9,154,139,154,139,139,prefix_sliced
9,col_bank_9,154,139,154,139,139,prefix_sliced
10,row_bank_10,182,166,182,166,166,prefix_sliced
10,col_bank_10,182,166,182,166,166,prefix_sliced
12,row_bank_12,156,143,156,143,143,prefix_sliced
12,col_bank_12,156,143,156,143,143,prefix_sliced
13,row_bank_13,143,133,143,133,133,prefix_sliced
13,col_bank_13,143,133,143,133,133,prefix_sliced
14,row_bank_14,180,162,180,162,162,prefix_sliced
14,col_bank_14,180,162,180,162,162,prefix_sliced
15,row_bank_15,168,152,168,152,152,prefix_sliced
15,col_bank_15,168,152,168,152,152,prefix_sliced
16,row_bank_16,156,141,156,141,141,prefix_sliced
16,col_bank_16,156,141,156,141,141,prefix_sliced
19,row_bank_19,165,149,165,149,149,prefix_sliced
19,col_bank_19,165,149,165,149,149,prefix_sliced
20,row_bank_20,154,139,154,139,139,prefix_sliced
20,col_bank_20,154,139,154,139,139,prefix_sliced
21,row_bank_21,143,138,143,138,138,prefix_sliced
21,col_bank_21,143,138,143,138,138,prefix_sliced
22,row_bank_22,132,119,132,119,119,prefix_sliced
22,col_bank_22,132,119,132,119,119,prefix_sliced
