bank_id,value_name,old_shape,new_shape,old_num_elements,new_num_elements,prefix,action
0,row_bank_0,225,207,225,207,207,prefix_sliced
0,col_bank_0,225,207,225,207,207,prefix_sliced
1,row_bank_1,210,185,210,185,185,prefix_sliced
1,col_bank_1,210,185,210,185,185,prefix_sliced
2,row_bank_2,195,191,195,191,191,prefix_sliced
2,col_bank_2,195,191,195,191,191,prefix_sliced
3,row_bank_3,180,150,180,150,150,prefix_sliced
3,col_bank_3,180,150,180,150,150,prefix_sliced
4,row_bank_4,165,112,165,112,112,prefix_sliced
4,col_bank_4,165,112,165,112,112,prefix_sliced
5,row_bank_5,210,188,210,188,188,prefix_sliced
5,col_bank_5,210,188,210,188,188,prefix_sliced
6,row_bank_6,196,165,196,165,165,prefix_sliced
6,col_bank_6,196,165,196,165,165,prefix_sliced
7,row_bank_7,182,154,182,154,154,prefix_sliced
7,col_bank_7,182,154,182,154,154,prefix_sliced
8,row_bank_8,168,125,168,125,125,prefix_sliced
8,col_bank_8,168,125,168,125,125,prefix_sliced
9,row_bank_9,154,118,154,118,118,prefix_sliced
9,col_bank_9,154,118,154,118,118,prefix_sliced
10,row_bank_10,182,158,182,158,158,prefix_sliced
10,col_bank_10,182,158,182,158,158,prefix_sliced
11,row_bank_11,169,165,169,165,165,prefix_sliced
11,col_bank_11,169,165,169,165,165,prefix_sliced
12,row_bank_12,156,135,156,135,135,prefix_sliced
12,col_bank_12,156,135,156,135,135,prefix_sliced
13,row_bank_13,143,125,143,125,125,prefix_sliced
13,col_bank_13,143,125,143,125,125,prefix_sliced
14,row_bank_14,180,129,180,129,129,prefix_sliced
14,col_bank_14,180,129,180,129,129,prefix_sliced
15,row_bank_15,168,85,168,85,85,prefix_sliced
15,col_bank_15,168,85,168,85,85,prefix_sliced
16,row_bank_16,156,108,156,108,108,prefix_sliced
16,col_bank_16,156,108,156,108,108,prefix_sliced
17,row_bank_17,144,142,144,142,142,prefix_sliced
17,col_bank_17,144,142,144,142,142,prefix_sliced
18,row_bank_18,132,128,132,128,128,prefix_sliced
18,col_bank_18,132,128,132,128,128,prefix_sliced
19,row_bank_19,165,12,165,12,12,prefix_sliced
19,col_bank_19,165,12,165,12,12,prefix_sliced
20,row_bank_20,154,100,154,100,100,prefix_sliced
20,col_bank_20,154,100,154,100,100,prefix_sliced
21,row_bank_21,143,130,143,130,130,prefix_sliced
21,col_bank_21,143,130,143,130,130,prefix_sliced
22,row_bank_22,132,102,132,102,102,prefix_sliced
22,col_bank_22,132,102,132,102,102,prefix_sliced
23,row_bank_23,121,118,121,118,118,prefix_sliced
23,col_bank_23,121,118,121,118,118,prefix_sliced
