task_id,lane,candidate_model_path,base_entry_replaced,source_entry_sha256,candidate_sha256,candidate_valid,failure_reason
task096,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task096_TerminalOutputCastPruned.onnx,overrides/task096.onnx,8011155d42f9a128a96d2ea943c2041e9f348cf9ee55a8289378fe7689e6ae95,fc27ed6a1d881410560916b8a36750764b8f45d8dda7736e05c3399e76c440b9,True,
task206,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task206_TerminalOutputCastPruned.onnx,overrides/task206.onnx,6d2e2caf63b2b8ee014e0df959395bfc42df14c2f6bc7f7bb1fcdd330df2bd1d,c6cfcc18427e6af8cd06d419d6c283e0f034367fcddd74849fd8873a0c35a4f0,True,
task192,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task192_TerminalOutputCastPruned.onnx,overrides/task192.onnx,02da2ed1d0363997e45f8c5bfe6fef9b8de614300b6189a91ffc9a8d49a37a05,b6c80cb1516ae535b139ff9ffb665619f2349acb69eb150e8d605ae81515ac18,True,
task376,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task376_TerminalOutputCastPruned.onnx,overrides/task376.onnx,becd963a84ce2cfe83a8ee38e494f26a327cbefcc0e2b1c426a29aba33de5f43,817c282b4ad2f4f7dae46bae8007f20249c6ac8199bc9f33d5690c9aaadf650b,True,
task138,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task138_TerminalOutputCastPruned.onnx,overrides/task138.onnx,aaad6602229f0962b24350c5305d719f8623ce814a35dbd821a739f8cfea9418,108f861bf38fc17de7eeba0a4b0b6ba967ead08a9d67f59884e149f3ee2c1cff,True,
task191,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task191_TerminalOutputCastPruned.onnx,overrides/task191.onnx,8e15cc19926ffdee2b82e22b18b86a91787cd4184b274e00344fb5ae9a5a9418,8b7d5140c999892a8243e7720a4a8d3ecbb29b56ad5f10d7b6383749bc93148c,True,
task209,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task209_TerminalOutputCastPruned.onnx,overrides/task209.onnx,a6561c9be95826b683e32c2442a5b060145d58812a94373bdb2324ec51f078cb,42427639aeacfd71ffaac1d4b24c62e3a7647bfc1134ca859a0ee664828d180b,True,
task328,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task328_TerminalOutputCastPruned.onnx,overrides/task328.onnx,e185b61b47d11ae211efef038c04bfe88dce0c163476dc6b8068c6c879d333b1,f9e67283e26dc50a4e4d2f2ccb641f8a618a4e2113f3e6f025286229f07ed248,True,
task255,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task255_TerminalOutputCastPruned.onnx,overrides/task255.onnx,f6b30e371d67ac7db59032814c65f02c8a0a85bd1af7b2d758417c5e31c329a9,42af6a24cab31d1d0e37eb03087ab021fa32317e861ca161cc71bc2011d5f9e5,True,
task215,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task215_TerminalOutputCastPruned.onnx,overrides/task215.onnx,ad1e975b6e82508de2e208bb5877eb3d7a2c9d9a0cebf7b9dd4911a4078af377,9df10befe9f9e08ddca43e150a77856f17e582cfec8aa4df96de2e4296e49821,True,
task018,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task018_TerminalOutputCastPruned.onnx,overrides/task018.onnx,a81528a09b18abca286f69bfae09169f28ad1ecd59dd9833ff77e0fc52b5a27c,31a9b722f5b966fe361d22487e2f3b1d32b65ac1a464e12288ce786a18054699,True,
task203,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task203_TerminalOutputCastPruned.onnx,overrides/task203.onnx,1d3d4435105625f94a77a73c38a13f9cf6c80b0b59f5669fdb76964111c370cf,657903a4bea5b0fa087b5301d5b31055f5ac2fe973b4a3a9933dfef27e386740,True,
task243,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task243_TerminalOutputCastPruned.onnx,overrides/task243.onnx,b7f9a8aa93545e67b9c48f07b28a3f72937893d0a8a129cdf58fa8b77df7a556,de5e70144a480b5f038acc8f44795209a2ad5282a97792740189e40de29a166c,True,
task285,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task285_TerminalOutputCastPruned.onnx,overrides/task285.onnx,835462fe95cbd2df1fd65bda9deceddbccd609cdca5e0308b6fe1f66e8163431,8942b018a3e57a45c2a1dc79c8380fd23d1b7680ef342728ee0d3b82b2458179,True,
task233,overrides,outputs\candidates\terminal_output_cast_prune_6349_79\task233_TerminalOutputCastPruned.onnx,overrides/task233.onnx,a5ee427214ac68b60798c8f39be5cd4d2e69c177aad74b5c3942a3fb7bd3b76b,7d4bdca813f585cb28619f678562805dc25282a8a87865f43c7bfa1391e5900e,True,
