task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task018,overrides,outputs\current_6349_79_stack\overrides\task018.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task018_TerminalOutputCastPruned.onnx,112358,103358,-9000,58628,58591,-37,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task096,overrides,outputs\current_6349_79_stack\overrides\task096.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task096_TerminalOutputCastPruned.onnx,157946,139946,-18000,12075,11980,-95,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task138,overrides,outputs\current_6349_79_stack\overrides\task138.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task138_TerminalOutputCastPruned.onnx,47895,38895,-9000,5523,5476,-47,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task191,overrides,outputs\current_6349_79_stack\overrides\task191.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task191_TerminalOutputCastPruned.onnx,67986,58986,-9000,6296,6249,-47,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task192,overrides,outputs\current_6349_79_stack\overrides\task192.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task192_TerminalOutputCastPruned.onnx,51968,33968,-18000,2089,2013,-76,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task203,overrides,outputs\current_6349_79_stack\overrides\task203.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task203_TerminalOutputCastPruned.onnx,53188,44188,-9000,4915,4878,-37,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task206,overrides,outputs\current_6349_79_stack\overrides\task206.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task206_TerminalOutputCastPruned.onnx,61386,52386,-9000,4022,3944,-78,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task209,overrides,outputs\current_6349_79_stack\overrides\task209.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task209_TerminalOutputCastPruned.onnx,113834,104834,-9000,12277,12230,-47,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task215,overrides,outputs\current_6349_79_stack\overrides\task215.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task215_TerminalOutputCastPruned.onnx,38094,29094,-9000,1729,1688,-41,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task233,overrides,outputs\current_6349_79_stack\overrides\task233.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task233_TerminalOutputCastPruned.onnx,124902,115902,-9000,22950,22915,-35,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task243,overrides,outputs\current_6349_79_stack\overrides\task243.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task243_TerminalOutputCastPruned.onnx,68713,59713,-9000,8266,8229,-37,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task255,overrides,outputs\current_6349_79_stack\overrides\task255.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task255_TerminalOutputCastPruned.onnx,135493,117493,-18000,10289,10246,-43,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task285,overrides,outputs\current_6349_79_stack\overrides\task285.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task285_TerminalOutputCastPruned.onnx,123734,114734,-9000,65829,65792,-37,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task328,overrides,outputs\current_6349_79_stack\overrides\task328.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task328_TerminalOutputCastPruned.onnx,67093,58093,-9000,10833,10787,-46,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
task376,overrides,outputs\current_6349_79_stack\overrides\task376.onnx,outputs\candidates\terminal_output_cast_prune_6349_79\task376_TerminalOutputCastPruned.onnx,23412,14412,-9000,4045,3971,-74,,,0,,,True,1,0,,0,0,0,0,True,True,True,labelled_validation_passed,,,True,
