task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task001,overrides,outputs\current_6352_53_stack\overrides\task001.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task002,overrides,outputs\current_6352_53_stack\overrides\task002.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task003,overrides,outputs\current_6352_53_stack\overrides\task003.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task004,overrides,outputs\current_6352_53_stack\overrides\task004.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task005,overrides,outputs\current_6352_53_stack\overrides\task005.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task006,overrides,outputs\current_6352_53_stack\overrides\task006.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task007,overrides,outputs\current_6352_53_stack\overrides\task007.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task008,overrides,outputs\current_6352_53_stack\overrides\task008.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task009,overrides,outputs\current_6352_53_stack\overrides\task009.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task010,overrides,outputs\current_6352_53_stack\overrides\task010.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task011,overrides,outputs\current_6352_53_stack\overrides\task011.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task012,overrides,outputs\current_6352_53_stack\overrides\task012.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task013,overrides,outputs\current_6352_53_stack\overrides\task013.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task014,overrides,outputs\current_6352_53_stack\overrides\task014.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task015,overrides,outputs\current_6352_53_stack\overrides\task015.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task016,overrides,outputs\current_6352_53_stack\overrides\task016.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task017,overrides,outputs\current_6352_53_stack\overrides\task017.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task018,overrides,outputs\current_6352_53_stack\overrides\task018.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task019,overrides,outputs\current_6352_53_stack\overrides\task019.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task020,overrides,outputs\current_6352_53_stack\overrides\task020.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task021,overrides,outputs\current_6352_53_stack\overrides\task021.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task022,overrides,outputs\current_6352_53_stack\overrides\task022.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task023,overrides,outputs\current_6352_53_stack\overrides\task023.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task024,overrides,outputs\current_6352_53_stack\overrides\task024.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task025,overrides,outputs\current_6352_53_stack\overrides\task025.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task026,overrides,outputs\current_6352_53_stack\overrides\task026.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task027,overrides,outputs\current_6352_53_stack\overrides\task027.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task028,overrides,outputs\current_6352_53_stack\overrides\task028.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task029,overrides,outputs\current_6352_53_stack\overrides\task029.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
